ac_id,publish_cst,duration_min,parts,playable,kind,live_date,date_confidence,archive_entry,disposition,title,note
ac2434644,2016-01-04 13:39,78,1,yes,partial-replay,2016-01-03,strongly-supported,2016-01-03-live-01,新建条目·本轮,【主机游戏】跟着女流一起来玩《尼德霍格(Nidhogg)》吧（二）,尼德霍格（二），78 分钟。
ac2434647,2016-01-04 13:41,53,1,yes,partial-replay,2016-01-03,strongly-supported,2016-01-03-live-01,新建条目·本轮,【主机游戏】跟着女流一起来玩《尼德霍格(Nidhogg)》吧（一）,尼德霍格（一），53 分钟。快照缩略图证 01-03 18:42 在播。
ac2434832,2016-01-04 14:58,160,1,yes,full-replay,2015-12-24,confirmed,2016-01-04-live-01,既有条目·续五更正日期,【我的世界】斗鱼TV我的世界MC圣诞建筑大赛 女流 作品打分视角！,续五全片转写：开场「平安夜快乐」「圣诞节快乐」「今天下午是评分的环节」，评委有小桀；小桀视角 ac2414482 发布于 12-25。条目日期 2016-01-04→2015-12-24，id 保留不变。
ac2435495,2016-01-04 17:24,82,1,yes,partial-replay,2016-01-01,confirmed,2016-01-01-live-01,既有条目·本轮补源,【心灵砒霜】女流2016新年砒霜 元旦特辑 （一）,标题自称「元旦特辑」。标注的（二）ac2434529 已不在该号投稿列表。
ac2440577,2016-01-06 15:26,65,1,yes,partial-replay,2016-01-04~01-05,bounded,,未决·有界·同场三段之一,【橙光游戏】跟着女流姐姐一起来解谜命运交叉的客店吧！,续五全片转写＋画面：三段同一身米色毛衣、同一房间、日光，《放逐之城》一段开头「今天怎么总换游戏……第一个游戏太早通关了……本来这天下午就计划打那个游戏」、结尾「886明天见」，确为同一场下午直播；但三段里没有任何真实日期，也没出现 01-05 直播间标题里的《谁是你爸爸》。01-04 与 01-05 仍定不下来，故不挂 2016-01-05-live-01、不摘 no_public_replay。能定案的材料：01-04 当天是否开播的快照，或带日期的另一份录像。
ac2440642,2016-01-06 15:50,55,1,yes,partial-replay,2016-01-04~01-05,bounded,,未决·有界·同场三段之一,【主机游戏】女流：放逐之城 OR 乱伦之城？ 都这么能生孩子！,同上（三段合计 160 分钟，本段收尾「886明天见啊」）。
ac2441013,2016-01-06 18:02,40,1,yes,partial-replay,2016-01-04~01-05,bounded,,未决·有界·同场三段之一,"【主机游戏】Paper,Please - 《请出示文件》 接受女流检察官的审查吧！",同上（片中日期均为游戏内 1982/1983 年的证件日期）。
ac2454680,2016-01-12 10:37,85,1,yes,partial-replay,2016-01-10,strongly-supported,2016-01-10-live-01,既有条目·本轮补源,【心灵砒霜】十年寒窗，十年砒霜   十八载春梦，十八载圆梦 - 黄渤！,85 分钟。与 ac2454719 相加 179 分钟 ≈ 条目既有的 178 分钟。
ac2454719,2016-01-12 10:47,94,1,yes,partial-replay,2016-01-10,strongly-supported,2016-01-10-live-01,既有条目·本轮补源·原标日期已解,【心灵砒霜】十年寒窗，十年砒霜  心灵砒霜第2016.10.10期,94 分钟。标题期号「2016.10.10」不成立；2016-08-27 观众评论直书「日期错了 20160110」。
ac2454741,2016-01-12 10:52,205,2,yes,full-replay,2016-01-07~01-11,bounded,,未决·有界,【主机游戏】Poly bridge 11月更新最新关卡  快来体验吧（一）,续五：片中说同事听说她「见到黄渤了」要她请吃饭（01-03 直播间标题「hello huangbobo」），片尾「明天把后面六关过了」。01-10 为心灵砒霜，01-12 发布前一日为上限，落在 01-07～01-11。能定案的材料：01-07～01-09、01-11 的快照。
ac2454768,2016-01-12 11:00,125,1,yes,duplicate,同 ac2454741,n/a,,重复投稿·随 ac2454741,【主机游戏】Poly bridge 11月更新最新关卡  快来体验吧（二）,续五音频比对：与 ac2454741 下半场从头到尾偏移为 0 完全一致（0.8～1.08），确认重复投稿，不计场次，日期随 ac2454741。
ac2487882,2016-01-25 14:08,126,1,yes,partial-replay,2016-01-24,strongly-supported,2016-01-24-live-01,既有条目·续五复核时长,【主机游戏】女流姐姐直播一周年 MC活动纪念,续五复核：与 ac2487950 音频比对无重叠（只有背景音乐造成的零散低分），两段衣着、房间（粉色房间＋圣诞树）一致而内容不同（MC 活动／读信），236 分钟可以保留。
ac2487950,2016-01-25 14:20,110,1,yes,partial-replay,2016-01-24,strongly-supported,2016-01-24-live-01,既有条目·续五复核时长,【全明星秀】女流斗鱼直播一周年纪念日 感谢有你  水友狂送礼物和鱼丸！,同上。
ac2506146,2016-01-30 22:21,90,1,yes,full-replay,2016-01-26~01-29,bounded,,未决·有界,【主机游戏】节奏天国：树上的朋友，铁窗里的朋友，一起来！,续五看片：晚上开播、「都11点了」下播，自述「这个月直播时间怎么也凑不够了」；快照 01-26 11:04 时最后开播仍是 01-24，01-30 00:58 另有一场跨零点直播。落在 01-26～01-29。能定案的材料：这几天的快照。
ac2533334,2016-02-14 16:07,106,1,yes,full-replay,2016-02-02,confirmed,2016-02-02-live-01,新建条目·续五,【主机游戏】 女流——勇者斗恶龙：建造者,续五看片：「我六点就走了，现在三点」「年后再玩吧……收拾行李……坐飞机」；快照证 02-02 16:24 在播，随后标题改为「开开心心回家过年」，下一次开播为 02-17。发布滞后 12 天系春节停更。
ac2553531,2016-02-22 15:20,135,1,yes,full-replay,2016-02-17~02-21,bounded,,未决·有界,【主机游戏】终极街霸4   女流也玩街霸！,续五：片头「PS4一晚上没关」，无日期线索。春节停播到 02-17 22:42 才恢复（快照），02-19 为 Unravel 整场、02-21 为心灵砒霜，最可能是 02-17/02-18/02-20，但未证实。能定案的材料：这几天的快照或带日期录像。
ac2555180,2016-02-23 10:36,40,1,yes,partial-replay,2016-02-19,confirmed,2016-02-19-live-01,既有条目·续五复核日期,【主机游戏】毛线小灵精：一段走心的旅程 跟女流一起来玩吧（一）,续五：B站 BV14W411u7yw 总标题写「2016.1.29」，但四个分P标题全是「2016.2.19」，P1 2417 秒与本片 2417.4 秒逐秒一致；且《Unravel》2016-02-09 才发售，01-29 不可能。archive 的 02-19 正确，bilibili-record-house.csv 已改正。
ac2555236,2016-02-23 10:54,119,1,yes,partial-replay,2016-02-19,confirmed,2016-02-19-live-01,既有条目·续五复核日期,【主机游戏】毛线小灵精：一段走心的旅程 跟女流一起来玩吧（四）,同上。
ac2555243,2016-02-23 10:56,116,1,yes,partial-replay,2016-02-19,confirmed,2016-02-19-live-01,既有条目·续五复核日期,【主机游戏】毛线小灵精：一段走心的旅程 跟女流一起来玩吧（三）,同上。
ac2587884,2016-03-08 18:07,67,2,yes,partial-replay,2016-03-06,confirmed,2016-03-06-live-01,既有条目·本轮补源·原标日期已解,【全民星秀】女流心灵砒霜系列节目 2010306期,标题「2010306期」缺一位，还原 20160306；快照证 03-06 16:36 show_status=1 且标题写「下午四点砒霜」。
ac2592025,2016-03-10 15:41,61,2,yes,partial-replay,2016-03-09,confirmed,2016-03-09-live-01,既有条目·续五补源,【主机游戏】女流 星露谷 全程直播录像,续五音频比对：两 P 与 B站「2016.3.9」星露谷 P1+P2 全程对齐；片头「一次没玩过」、从建角色开始。原目录挂 03-10 系按发布日推，有误。
ac2615160,2016-03-21 14:10,85,1,yes,full-replay,2016-03-20,confirmed,2016-03-20-live-01,既有条目·已用作来源,【全明星秀】女流心灵砒霜系列节目 20160320期,标题自带期号 20160320。
ac2662778,2016-04-11 18:38,71,1,yes,partial-replay,2016-04-10,strongly-supported,2016-04-10-live-01,既有条目·本轮补源·原标日期已解,【心灵砒霜】久违的心灵砒霜  第20160810期,标题期号「20160810」不成立，按月份错写还原 0410；「久违的」与前场 03-27 间隔两周相合。
ac2678564,2016-04-18 13:14,78,1,yes,partial-replay,2016-04-17,strongly-supported,2016-04-17-live-01,既有条目·本轮补源,【心灵砒霜】女朋友和游戏哪个更重要？ DC老师你学到了吗？,78 分钟，发布滞后 1 天。
ac2728343,2016-05-09 16:32,105,2,yes,partial-replay,2016-05-08,confirmed,2016-05-08-live-01,既有条目·续五补源,【心灵砒霜】女流心灵砒霜20160508期   喜欢别人的女朋友怎么办,标题期号 20160508；片中观众留言「溜溜妈妈母亲节快乐」，2016-05-08 正是母亲节。
ac2789154,2016-06-03 11:23,4,1,yes,not-nvliu,,n/a,,✗ 误收·本轮剔除,斗NI妹|超甜的全能主播，心灵砒霜仇尹洛,《斗NI妹|超甜的全能主播，心灵砒霜仇尹洛》讲的是另一位主播仇尹洛（斗鱼房间号 578119，简介写明其个人介绍），与女流无关——只是同样做「心灵砒霜」同名节目。上一版目录把它当作 2016-06-03 的可补来源，是错的。
ac3013788,2016-08-11 14:50,128,1,yes,full-replay,2016-08-07,confirmed,2016-08-07-live-01,既有条目·已用作来源,【心灵砒霜】女流心灵砒霜 20160807期,标题自带期号 20160807，128 分钟，把原本只有音频的条目升级为有影像。
ac3091727,2016-09-09 15:58,12,1,yes,compilation,,n/a,,非女流录像·平台节目,炸鱼联播第十三期：天哪噜！笑笑醉酒？卷毛偷内裤？女流玩DOTA？？,斗鱼官方八卦节目《炸鱼联播》第十三期，12 分钟，标题提到「女流玩DOTA」。非其直播录像。
ac3146000,2016-09-30 17:56,,1,yes,compilation,,n/a,,非女流录像·平台节目·二次发现,炸鱼联播第十四期：天降红唇迷众人，厉害了WORD哥!,《炸鱼联播》第十四期，简介提到「女流薛之谦郎才女貌」。标题不含女流，按简介找出。同上，非其直播录像。
