logged_live_date,tieba_content,source_url,classification,archive_entry,reason
2016-04-04,1游戏名：factorio异星工厂 ; 2游戏名：SuperHot,https://tieba.baidu.com/p/4363790737,create,2016-04-04-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-04-05,hunie cam studio,https://tieba.baidu.com/p/4363790737,create,2016-04-05-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-04-06,逆转裁判5,https://tieba.baidu.com/p/4363790737,create,2016-04-06-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-04-07,逆转裁判5,https://tieba.baidu.com/p/4363790737,create,2016-04-07-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-04-08,逆转裁判5,https://tieba.baidu.com/p/4363790737,create,2016-04-08-live-01,贴吧明确记载、前后无矛盾；另有斗鱼直播间快照；公开录像暂未找到
2016-04-11,传送门2,https://tieba.baidu.com/p/4363790737,create,2016-04-11-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-04-12,生锈小湖解密新章theatre,https://tieba.baidu.com/p/4363790737,create,2016-04-12-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-04-18,逆转裁判5（3ds）,https://tieba.baidu.com/p/4363790737,create,2016-04-18-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-04-19,逆转裁判5,https://tieba.baidu.com/p/4363790737,create,2016-04-19-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-05-07,黑暗之魂3,https://tieba.baidu.com/p/4363790737,duplicate-or-date-shift,,档案 05-06「第七天」、05-08「第八天」连号；若 05-07 另有一场，第八天就该在 05-07。贴吧与档案必有一方错日
2016-07-11,黎明杀机,https://tieba.baidu.com/p/4363790737,create,2016-07-11-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-10-10,LISA,https://tieba.baidu.com/p/4363790737,create,2016-10-10-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-10-11,lisa,https://tieba.baidu.com/p/4363790737,create,2016-10-11-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2016-12-15,lisa第三部the joyful,https://tieba.baidu.com/p/4363790737,create,2016-12-15-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2017-01-14,返校,https://tieba.baidu.com/p/4923399696,create,2017-01-14-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2017-07-14,幼儿园(Kindergarten),https://tieba.baidu.com/p/4923399696,create,2017-07-14-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2017-07-25,我的世界 / 我的世界 minecraft 1.12,https://tieba.baidu.com/p/4923399696,create,2017-07-25-live-01,贴吧明确记载；她本人优酷号《大周建国史》第5天两段（XMjkyNTc2NzQ1Ng== / XMjkyNTc2ODc4OA==）按场次顺序落在这一天
2017-08-06,绝地求生,https://tieba.baidu.com/p/4923399696,duplicate-or-date-shift,,档案 08-05 有绝地求生（贴吧 08-05 未记），疑为同一场差一天
2017-08-18,我的世界 minecraft 1.12,https://tieba.baidu.com/p/4923399696,create,2017-08-18-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2017-10-16,贴壁纸,https://tieba.baidu.com/p/4923399696,unresolved,,「贴壁纸」，同月 10/5～10/8 的非游戏活动档案里确有直播，但这一天无旁证
2017-11-27,电影客串,https://tieba.baidu.com/p/4923399696,non-live-or-policy-edge,,电影客串，线下活动
2017-12-07,微博V影响力峰会,https://tieba.baidu.com/p/4923399696,non-live-or-policy-edge,,微博V影响力峰会，线下活动，是否开播不明
2017-12-14,内蒙,https://tieba.baidu.com/p/4923399696,non-live-or-policy-edge,,「内蒙」，外出行程
2018-01-01,跨年直播,https://tieba.baidu.com/p/9079048376,duplicate-or-date-shift,,档案 2017-12-31 有大周脚展与心灵砒霜两条，跨年直播当属其一的零点后部分
2018-03-02,聊天,https://tieba.baidu.com/p/9079048376,create,2018-03-02-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2018-04-14,游戏：逃出生天/ A Way Out,https://tieba.baidu.com/p/9079048376,create,2018-04-14-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2018-05-26,游戏：黑暗之魂重制/ Dark Souls Remastered,https://tieba.baidu.com/p/9079048376,create,2018-05-26-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2018-06-02,看电影,https://tieba.baidu.com/p/9079048376,create,2018-06-02-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2018-08-10,游戏：我的世界/Minecraft 第一天,https://tieba.baidu.com/p/9079048376,create,2018-08-10-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2018-08-13,游戏：我的世界/Minecraft 第三天,https://tieba.baidu.com/p/9079048376,create,2018-08-13-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2018-08-16,游戏：我的世界/Minecraft 第六天 ; 游戏：无人深空/ No Man's Sky,https://tieba.baidu.com/p/9079048376,duplicate-or-date-shift,,档案 2018-08-17-live-01「第六天之七夕建筑大赛&无人深空」内容与贴吧 8/16 完全相同；七夕是 8/17，分P名与上传日也是 8/17，贴吧大概率记早一天
2018-10-09,语音直播,https://tieba.baidu.com/p/9079048376,create,2018-10-09-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2018-10-15,语音直播,https://tieba.baidu.com/p/9079048376,create,2018-10-15-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2018-11-22,语音直播,https://tieba.baidu.com/p/9079048376,create,2018-11-22-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2019-01-22,周年庆 ; 唱歌看视频弹钢琴,https://tieba.baidu.com/p/5995167560,duplicate-or-date-shift,,档案 2019-01-21-live-02「四年了，感谢有你」即周年庆直播（贴吧 1/21 未记），疑为同一场差一天
2019-02-26,唱歌,https://tieba.baidu.com/p/5995167560,duplicate-or-date-shift,,贴吧 2/25 砒霜、2/26 唱歌，档案 2/24 砒霜（周日）、2/25 唱歌，整体差一天
2019-03-31,看电影：超体、雨中曲,https://tieba.baidu.com/p/5995167560,create,2019-03-31-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2019-04-15,跟七号玩LOL,https://tieba.baidu.com/p/5995167560,create,2019-04-15-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2019-05-18,语音连麦,https://tieba.baidu.com/p/5995167560,non-live-or-policy-edge,,「语音连麦」，可能是连麦别人的直播间
2019-05-31,游戏：全面战争模拟器 / Totally Accurate Battle Simulator,https://tieba.baidu.com/p/5995167560,duplicate-or-date-shift,,档案 05-30 全面战争模拟器（贴吧 05-30 未记），疑为同一场差一天
2019-07-03,游戏：我的朋友佩德罗/ My Friend Pedro ; 游戏：风暴追逐者/ Storm Chasers ; 游戏：节奏乒乓/ Lofi Ping Pong,https://tieba.baidu.com/p/5995167560,create,2019-07-03-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2019-07-04,唱歌 ; 游戏：人类:一败涂地 MOD / Human: Fall Flat ; 游戏：辐射:避难所Online,https://tieba.baidu.com/p/5995167560,create,2019-07-04-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2019-07-05,游戏：荒野潜伏者/ Stay Silent VR ; 游戏：百战天虫,https://tieba.baidu.com/p/5995167560,create,2019-07-05-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2019-07-08,游戏：拣爱 ; 小林正雪复仇之密室,https://tieba.baidu.com/p/5995167560,create,2019-07-08-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2019-08-10,冷湖看火箭发射,https://tieba.baidu.com/p/5995167560,duplicate-or-date-shift,,档案 08-11《斗鱼超级火箭计划》官方回看（17 分），疑为同一趟冷湖行程；是否两天都开播未证
2019-08-28,游戏：遗迹:灰烬重生/ Remnant: From the Ashes,https://tieba.baidu.com/p/5995167560,create,2019-08-28-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2019-12-26,游戏：动物园之星/ Planet Zoo,https://tieba.baidu.com/p/5995167560,duplicate-or-date-shift,,档案 12-25「天儿挺冷」已挂动物园之星（贴吧 12-25 未记），疑为同一场差一天
2019-12-31,跨年,https://tieba.baidu.com/p/5995167560,duplicate-or-date-shift,,档案 2020-01-01「新年快乐」应为跨年直播的零点后部分
2021-02-15,游戏：绝地求生/  PLAYERUNKNOWN’S BATTLEGROUNDS ; 游戏：反恐精英：全球攻势/CS:GO,https://tieba.baidu.com/p/7179137062,create,2021-02-15-live-01,仓储员 BV1dy4y147qY P61–P66 + 秘密录像屋 BV1c54y1Y7cf；审计报告称已建但未落库
2021-05-14,PS5国行上市庆典-上海行,https://tieba.baidu.com/p/7179137062,non-live-or-policy-edge,,PS5 国行上市庆典上海行，线下活动
2021-05-24,游戏：深海迷航/ Subnautica,https://tieba.baidu.com/p/7179137062,create,2021-05-24-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2021-06-23,游戏：永劫无间/ Naraka:Bladepoint,https://tieba.baidu.com/p/7179137062,duplicate-or-date-shift,,档案 2021-06-22 那条 613 分，由 A站 11 个 55 分分P（全标 6.22、06-23 晚上传）合并而成，可能跨了 06-22、06-23 两天
2021-08-11,高铁站语音直播,https://tieba.baidu.com/p/7179137062,create,2021-08-11-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2021-09-07,天义镇户外,https://tieba.baidu.com/p/7179137062,create,2021-09-07-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2021-10-08,游戏：喋血复仇/ Back 4 Blood,https://tieba.baidu.com/p/7179137062,create,2021-10-08-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2022-10-13,游戏：珊瑚岛/ Coral Island,https://tieba.baidu.com/p/7691737818,create,2022-10-13-live-01,贴吧明确记载、前后无矛盾；公开录像暂未找到
2022-12-09,游戏：重返猴岛/ Return to Monkey Island,https://tieba.baidu.com/p/7691737818,create,2022-12-09-live-01,有录像：BV18V4y1P7aH（B站）
2022-12-10,看视频聊天,https://tieba.baidu.com/p/7691737818,create,2022-12-10-live-01,有录像：BV1784y1t7RC（B站）
2022-12-31,看视频聊天跨年,https://tieba.baidu.com/p/7691737818,duplicate-or-date-shift,,KassyTan《女流66直播录像2022-12-31》实录 12-31 23:25—01-01 01:49，与已有 2023-01-01-live-02（斗鱼 01 点场）同一场；已把该录像补为 01-01-live-02 的来源，是否改记 12-31 待定
2023-02-19,游戏：褪黑素/ Melatonin,https://tieba.baidu.com/p/8207173300,create,2023-02-19-live-01,有录像：BV1yy4y1Z74F（B站）
2023-02-25,游戏：森林之子/ Sons Of The Forest,https://tieba.baidu.com/p/8207173300,create,2023-02-25-live-01,有录像：BV1ND4y137Cz、BV17A411275G、BV1k24y1J71K（B站）
2023-04-05,聊天,https://tieba.baidu.com/p/8207173300,unresolved,,贴吧记「聊天」，但近乎逐日存档的 KassyTan、zytau 都没有这一天
2023-04-15,聊天,https://tieba.baidu.com/p/8207173300,unresolved,,同上
