lead_id,name_alias,platform,account_id,profile_url,status_2026_09,linked_accounts,evidence_link_to_nvliu_or_group,relevant_dates,filenames_or_links,resource_accessible,confidence,best_public_lead
N11,阿里阿乐,tieba,uid 2081127425,https://tieba.baidu.com/home/main?un=%E9%98%BF%E9%87%8C%E9%98%BF%E4%B9%90,账号在；仅 2015-08 三帖,——,自录自剪三段土豆：p/3962781501（08-11 单口相声）、p/3987877139（08-20 七夕风之旅人「回家晚了 只录了一点」）、p/3999137934（08-21 poly bridge 剪辑）,2015-08,土豆 6dNWNM8tNzw、Wh7boGayyJU、58NvQH2K1zU,土豆失效,high（个人录制，非录像组）,低优先；土豆三个 vid 的 Wayback 页
N12,xuyao1970,tieba,uid 219269923,——,账号在,与录像组无关的吧友；转贴了 N02 的网盘,超级小桀吧 p/3912648219 2015-07-23「这是小桀视角 ac2044553；这是女流视角！！但是要自己下载！ s/1pZdNo」——s/1pZdNo 属 N02：录像组网盘 2015-07 已在分发整场录像,2015-07-22,s/1pZdNo（失效）、A站 ac2044553（404）,失效,high（链接归属）,无需处理
N13,给俺泡泡502,acfun,uid 1042937,https://www.acfun.cn/u/1042937,现 0 投稿；Wayback 2017-03-21 存档列出 20 条,可能与优酷「我今年刚好十六岁」同源（同名《女流草粉之路》），未证实,女流切片 7 条：ac2006301 女流装比啦大家快跑啊（07-05）、ac2022238 这个女流身材真好啊（07-13）、ac2034005 女流干不出这种事儿~（07-18）、ac2040270 抗韩女流信仰之悦（07-20）、ac2052199 下岗女工她说从头再来~（07-26）、ac2054121 女流真的是个好人~~~（07-27）、ac2091776 女流草粉之路~（08-11）；06 月的 9 条都是陈一发等其他主播,2015-06-03～08-11,见左,全部 404；每条都有 2015 年 Wayback 抓取（多数 200）,high（账号内容）；与 5～6 月空洞无关,取 7 个 Wayback 页的标题、简介、投稿时刻，找片段母场
N14,随尘归海（网盘脱敏名 随*归海）,baidu-pan,百度网盘 uk 3122081609；贴吧 uid 328645217,https://tieba.baidu.com/home/main?un=%E9%9A%8F%E5%B0%98%E5%BD%92%E6%B5%B7,分享仍在，需提取码,贴吧 随尘归海 ＝ 网盘 uk 3122081609（2026-09-24 头像 md5 相同）,task-046 的两条赤途分享（L16 s/1XjRlAN2t4sVnsskFccluhA、L17 s/1ssL7MRu73One8qBM7y7Zvw）属同一账号；本人 2017-11-23（p/5445206402）：「潜伏之赤途，b站录像小屋里传了当年全程的视频」,2017-11、2020、2022,见左,需提取码,high（归属）,公开帖里拼出正确提取码；只看文件名与日期，判断文件夹是 2015 还是 2016 年那次
N15,孤独时代的Fluctlight,bilibili,mid 2605652,https://space.bilibili.com/2605652,账号在（搜索结果显示近年仍有评论）；空间列表匿名 412 未能核,——,task-046 已记：BV1vZ4y1c7ND 2015-06 蝙蝠侠整场,2015-06-27,已在档,在线,——,B站登录后翻完空间（task-046 已记）
N16,萌得激死,acfun,uid 1007883,https://www.acfun.cn/u/1007883,账号在；全部投稿仅 3 条（本轮取全列表确认）,——,task-046 已记 09-04、09-09、09-10 三场,2015-09,ac2163929、ac2188498、ac2189813,在线,——,无其它公开痕迹
N17,卡斯0特罗,tieba,uid 293565809,——,账号在,吧友,p/4203561035 2015-12-08 回答「哪里能看直播录像」贴 s/1mgB3ucw——确认 1mgB3ucw 当时就是录像盘,2015-12-08,s/1mgB3ucw,失效,high（佐证）,无需处理
X01,c125780432,baidu-pan,uk 3090436010（c12****432）,——,——,——,s/1bowlpDX 是该吧友自己分享的起床铃声，不属录像组,2016-02,s/1bowlpDX,失效,排除,——
X02,ru****MAO,baidu-pan,uk 3646608897,——,——,——,s/1mhFyZgs 是 2016-11 壮壮直播录像（「感谢贰贰叁同学」），不属 2015,2016-10,s/1mhFyZgs,失效,排除（范围外）,——
X03,on***ae,baidu-pan,uk 389436537,——,分享在线,——,搜索引擎在「女流 录像 百度网盘」下返回的 s/1sjKiaFb「20151125」文件夹，实为 Windows 镜像压缩包，与女流无关,——,s/1sjKiaFb,在线,排除,——
