archive_entry,date,title,duration_min_before,disposition,action_or_reason,linked_recordings
2018-08-19-live-01,2018-08-19,【心灵砒霜】啊?科目二考不过两次就要离家出走?,238,时长正确,,BV1xW411973U:238min/7P/dates=['2018-08-19']/mine=238
2018-08-26-live-01,2018-08-26,"【心灵砒霜】谁要知道真相啊,我就想喝个奶茶",225,时长正确,,BV1TW411Q7rb:225min/6P/dates=['2018-08-26']/mine=225
2018-09-09-live-01,2018-09-09,【心灵砒霜】健身鬼才的消耗卡路里方式,271,时长正确,,BV1LW411o7a5:271min/7P/dates=['2018-09-09']/mine=271
2018-09-16-live-02,2018-09-16,"【心灵砒霜】大家好我是陆陆,笑对人生,真好",251,时长正确,,BV1eW411k7Dp:251min/6P/dates=['2018-09-16']/mine=251
2018-09-23-live-01,2018-09-23,"【心灵砒霜】蔗不是ASM啊,蔗只是心灵砒霜,蔗里并没有单独补课",204,时长正确,,BV1YW411z7E7:204min/6P/dates=['2018-09-23']/mine=204
2018-09-30-live-01,2018-09-30,女流的有声节目,202,时长正确,,BV1GW411m7oz:202min/6P/dates=['2018-09-30']/mine=202
2018-10-03-live-01,2018-10-03,女流66生日快乐,224,时长正确,,BV1HW411U7bU:224min/4P/dates=['2018-10-03']/mine=224
2018-10-07-live-01,2018-10-07,心灵砒霜,245,时长正确,纯净版 26+218=244 分钟,
2018-10-14-live-01,2018-10-14,【心灵砒霜】休恋逝水、苦海回身、早悟兰因。,234,时长正确,,BV1Lt411Z7yM:234min/6P/dates=['2018-10-14']/mine=214
2018-10-21-live-01,2018-10-21,【女流直播】心灵砒霜  P1 2018.10.21,175,时长正确,,BV1St411o7Pm:176min/4P/dates=['2018-10-21']/mine=176
2018-11-04-live-01,2018-11-04,"【心灵砒霜】如果植发也可以按揭,就可以奖励自己200个毛囊了",222,时长正确,,BV1Xb411w7Sz:246min/6P/dates=['2018-11-04']/mine=246
2018-11-18-live-01,2018-11-18,心灵砒霜,194,时长正确,,BV1Vt41117ib:194min/4P/dates=['2018-11-18']/mine=194
2018-11-25-live-01,2018-11-25,心灵砒霜,235,时长正确,,BV1pt41197GW:235min/5P/dates=['2018-11-25']/mine=235
2018-12-02-live-01,2018-12-02,心灵砒霜,157,时长正确,,BV1xt411D7wi:196min/4P/dates=['2018-12-02']/mine=196
2018-12-09-live-01,2018-12-09,【心灵砒霜】口红用完了还有一截，告诉你女朋友不用谢,240,时长正确,,BV15t411q7yp:242min/7P/dates=['2018-12-09']/mine=240
2018-12-16-live-01,2018-12-16,心灵砒霜,246,时长正确,,BV1tt411e7ct:246min/8P/dates=['2018-12-16']/mine=246
2018-12-23-live-01,2018-12-23,"【心灵砒霜】以后发明了心跳支付,这钱花的可就更快了",215,时长正确,,BV1pt411k7ij:216min/7P/dates=['2018-12-23']/mine=215
2019-01-06-live-01,2019-01-06,"【心灵砒霜】六式量子世界观下关于什么是爱情的""科学""解释",180,时长正确,,BV15t41147fu:180min/7P/dates=['2019-01-06']/mine=180
2019-01-13-live-01,2019-01-13,女流的有声节目,214,时长正确,,BV1nt411H7WW:214min/6P/dates=['2019-01-13']/mine=214
2019-01-21-live-02,2019-01-21,四年了，感谢有你,142,时长正确,纯净版 142 分钟，另一 142 分钟分P 是同场另一版本,BV1Pt411h7do:284min/4P/dates=['2019-01-21']/mine=284
2019-01-27-live-01,2019-01-27,"【心灵砒霜】""播六十年,播到你们孙子都出生了""",197,时长正确,,BV1ht411t7Jp:201min/4P/dates=['2019-01-27']/mine=197
2019-02-17-live-01,2019-02-17,"【心灵砒霜】回一趟家发现落伍了,老家里人均都网红了",239,时长正确,,BV17b41117tt:239min/7P/dates=['2019-02-17']/mine=239
2019-02-24-live-01,2019-02-24,【心灵砒霜】程序员要学好的第一门语言应该是英语,242,时长正确,,BV1Mb41187mU:242min/8P/dates=['2019-02-24']/mine=242
2019-03-03-live-01,2019-03-03,女流的有声节目,271,时长正确,,BV1mb411B7qY:271min/7P/dates=['2019-03-03']/mine=271
2019-03-10-live-01,2019-03-10,【心灵砒霜】谁让你在梦里都不让我开车呢!!,246,时长正确,,BV1Pb411e71n:195min/5P/dates=['2019-03-10']/mine=194 ; BV1Nb411e7xp:51min/1P/dates=['2019-03-10']/mine=51
2019-03-17-live-01,2019-03-17,【心灵砒霜】娶一个蛇精当老婆是一种怎么样的体验,247,时长正确,,BV1nb411n7X4:247min/6P/dates=['2019-03-17']/mine=247
2019-04-07-live-01,2019-04-07,"【心灵砒霜】说来你们不信,我都是一模一样衣服买几件的!",252,时长正确,,BV1hb411u7Sp:252min/8P/dates=['2019-04-07']/mine=251
2019-04-21-live-01,2019-04-21,"【心灵砒霜】我教你们的伎俩就这么用""祖师爷""身上来了",271,多日合集·本条只占一段,,"BV1xb41137Dz:271min/7P/dates=['2019-04-01', '2019-04-21']/mine=271"
2019-04-28-live-01,2019-04-28,【心灵砒霜】如何从取名开始发展出一个完整的故事,233,时长正确,,BV1Q4411b7NF:234min/7P/dates=['2019-04-28']/mine=234
2019-05-05-live-01,2019-05-05,"【心灵砒霜】如果女孩子在你面前哭了,最快的方法不是安慰她,而是",239,时长正确,,BV1i4411i7aV:239min/7P/dates=['2019-05-05']/mine=238
2019-05-12-live-01,2019-05-12,"【心灵砒霜】不是不会撒娇,只是没必要",228,一条录像覆盖同日多条,,BV1V4411a7FK:228min/7P/dates=['2019-05-12']/mine=228
2019-05-19-live-01,2019-05-19,"【心灵砒霜】如果抬杠可以赚钱,好多人都早就是富翁了",143,时长正确,,BV1K4411j7tn:144min/6P/dates=['2019-05-19']/mine=144
2019-05-26-live-01,2019-05-26,"【心灵砒霜】表白之后对方答应了,反而尬住了怎么办~",246,时长正确,,BV1V4411x7x6:246min/8P/dates=['2019-05-26']/mine=246
2019-06-09-live-01,2019-06-09,【心灵砒霜】只发多喝热水是没什么用的,271,时长正确,,BV1v4411N7wX:271min/7P/dates=['2019-06-09']/mine=271
2019-06-16-live-01,2019-06-16,"【心灵砒霜】坐过我开的车,咱就是生死之交了",258,时长正确,,BV1x441157fe:258min/7P/dates=['2019-06-16']/mine=258
2019-06-23-live-01,2019-06-23,心灵砒霜,253,时长正确,,BV1H4411g7zT:253min/8P/dates=['2019-06-23']/mine=253
2019-07-07-live-02,2019-07-07,心灵砒霜,260,时长正确,,BV134411F7Sy:260min/7P/dates=['2019-07-07']/mine=260
2019-07-14-live-01,2019-07-14,"【心灵砒霜】嗯mmmmmm,所以重启有时候真的有用",170,时长正确,,BV1wt41157kN:180min/4P/dates=['2019-07-14']/mine=180
2019-07-22-live-01,2019-07-22,"【心灵砒霜】如果所有惊叹都用一个词表示的话,哇~",253,时长正确,,BV1zt41177Su:253min/6P/dates=['2019-07-22']/mine=253
2019-07-28-live-01,2019-07-28,"【心灵砒霜】吃饭的时候不让我请,我就不去了",251,时长正确,,BV17t411A7P7:251min/7P/dates=['2019-07-28']/mine=251
2019-08-04-live-01,2019-08-04,"【心灵砒霜】只有吃完分类的时候才后悔,当时为什么点这么多",268,时长正确,,BV1Tt411M7Mj:268min/8P/dates=['2019-08-04']/mine=268
2019-08-13-live-01,2019-08-13,斗鱼天下第一斗歌大赛（女流视角）,385,时长正确,多机位合集（官方直播间、主持人、各导师视角），条目按女流视角计,BV1K4411D7QE:597min/6P/dates=[]/mine=0 ; BV1S4411S7ix:186min/5P/dates=['2019-08-13']/mine=153
2019-08-18-live-01,2019-08-18,"【心灵砒霜】下吧长痘了怎么办,留个胡子遮住就好了",300,时长正确,第一个分P 误写 2019.8.1，全长 300 分钟与条目一致,"BV1W4411o7R3:300min/7P/dates=['2019-08-01', '2019-08-18']/mine=226"
2019-08-25-live-01,2019-08-25,"【心灵砒霜】找一本好书,精读,宁缺毋滥",246,时长正确,,BV1M441167b5:246min/6P/dates=['2019-08-25']/mine=246
2019-09-09-live-01,2019-09-09,"【心灵砒霜】差点因为太瘦而被""逐出""家谱.",243,时长正确,,BV12J411N768:243min/7P/dates=['2019-09-09']/mine=240
2019-09-15-live-01,2019-09-15,"【心灵砒霜】生活就是这样,你没有什么问题",235,时长正确,砒霜分P 标 9.16（跨过零点），纯净版 235 分钟与条目一致,"BV19J411c7Mb:235min/5P/dates=['2019-09-15', '2019-09-16']/mine=17"
2019-09-22-live-01,2019-09-22,心灵砒霜,260,时长正确,,BV13J411M7Jh:260min/7P/dates=['2019-09-22']/mine=260
2019-10-06-live-01,2019-10-06,"【心灵砒霜】简短的恐怖故事,假期最后一天",282,时长正确,,BV12J411F7By:282min/8P/dates=['2019-10-06']/mine=282
2019-10-13-live-01,2019-10-13,"【心灵砒霜】只要不停的搬家,就能加深对城市的了解了",266,时长正确,,BV1vE411d7zd:266min/6P/dates=['2019-10-13']/mine=208
2019-10-27-live-01,2019-10-27,"【心灵砒霜】多年以后还能记起来66,甚至还能记得几句话,就挺好的",255,时长正确,,BV1nE411Y7os:255min/8P/dates=['2019-10-27']/mine=255
2019-11-03-live-01,2019-11-03,【心灵砒霜】谁还不希望自己孩子是个富二代呢,268,时长正确,,BV1qE411q7fU:268min/8P/dates=['2019-11-04']/mine=0
2019-11-10-live-01,2019-11-10,【心灵砒霜】为什么赶走一个程序比赶走一个活人还难,183,时长正确,,BV1mE411Y7Rk:183min/5P/dates=['2019-11-10']/mine=178
2019-11-17-live-01,2019-11-17,"【心灵砒霜】咱水友要是外形上捯饬一下,那可就太抢手了",254,时长正确,,BV1RJ41127Hy:254min/7P/dates=['2019-11-17']/mine=254
2019-12-01-live-01,2019-12-01,【心灵砒霜】66教你如何霸道总裁般的洗一把脸,244,时长正确,,BV1JJ411z7HY:244min/7P/dates=['2019-12-01']/mine=240
2019-12-08-live-01,2019-12-08,【心灵砒霜】醉酒只是给自己一个借口做出了自己一直想做的事情,259,时长正确,,BV1yJ411v7zb:260min/6P/dates=['2019-12-08']/mine=260
2019-12-15-live-01,2019-12-15,"【心灵砒霜】都是过来人,谁还没经历过几个骗术啊",255,时长正确,,BV1TJ41167Ev:255min/6P/dates=['2019-12-15']/mine=255
2019-12-22-live-01,2019-12-22,【心灵砒霜】大家冬至吃饺子了吗,294,时长正确,两份录像分别是同场的两个版本,"BV1hJ411s7hF:294min/3P/dates=['2019-12-22']/mine=294 ; BV16J411s7qn:222min/7P/dates=['2019-12-22', '2019-12-23']/mine=222"
2019-12-29-live-01,2019-12-29,"【心灵砒霜】读大学最幸运的事,就是学到了自己想学的专业",252,时长正确,,BV1QJ411871c:252min/6P/dates=['2019-12-29']/mine=252
2020-01-05-live-01,2020-01-05,"【心灵砒霜】并不是只有深夜才是属于自己的时间,其实清晨也是",258,多日合集·本条只占一段,,"BV1oJ411L7VX:258min/6P/dates=['2020-01-05', '2020-01-06']/mine=258 ; BV1zJ411L7EN:254min/3P/dates=['2020-01-05']/mine=254"
2020-01-12-live-01,2020-01-12,"【心灵砒霜】科学不在乎你认为,所以当你认为的时候就不科学了",253,多日合集·本条只占一段,,"BV1hJ411n7Ti:279min/8P/dates=['2020-01-03', '2020-01-12']/mine=227"
2020-01-18-live-01,2020-01-18,疑案追声-黑面观音/ Unheard DLC,162,时长确实少算,订正为 280 分钟（已挂录像 BV1T7411q7tL 纯净版全长）,BV1T7411q7tL:280min/3P/dates=['2020-01-18']/mine=280
2020-01-19-live-01,2020-01-19,"【心灵砒霜】借钱千万要谨慎呐,开口要债比表白还难",255,时长正确,,BV1n7411v7rm:256min/9P/dates=['2020-01-19']/mine=256
2020-03-04-live-01,2020-03-04,月影之塔,299,时长确实少算,订正为 437 分钟（已挂录像 BV1NE411s7BL 纯净版全长）,BV1NE411s7BL:437min/8P/dates=['2020-03-04']/mine=437
2020-05-09-live-01,2020-05-09,冒险公社,83,一条录像覆盖同日多条,,BV15t4y117EG:367min/8P/dates=['2020-05-09']/mine=367
2020-05-17-live-01,2020-05-17,"【心灵砒霜】澄清一下,眼睛不是小,只是爱笑,草原风味的砒霜",274,时长正确,,BV1RV411k7ro:274min/11P/dates=['2020-05-17']/mine=274
2020-05-24-live-01,2020-05-24,"【心灵砒霜】等我拿到驾照,一定要直播放礼花庆祝一下",246,时长正确,,BV1gz4y197tK:246min/8P/dates=['2020-05-24']/mine=246 ; BV16z411v7qp:241min/2P/dates=[]/mine=0
2020-05-31-live-01,2020-05-31,"【心灵砒霜】一个人同时有那么多备胎,都是电视剧拍给你看的",277,时长正确,,BV1CT4y1E7Ls:278min/10P/dates=['2020-05-31']/mine=255 ; BV1gT4y1g7DC:277min/3P/dates=[]/mine=0
2020-06-07-live-01,2020-06-07,"【心灵砒霜】纯爷们也得捯饬一下自己,并不会让你变娘的",251,时长正确,,BV1ZK4y1x7JF:251min/9P/dates=['2020-06-07']/mine=195
2020-06-14-live-01,2020-06-14,【心灵砒霜】每天醒来都要确认下是不是真的过了科目二,254,时长正确,,BV1yf4y1y7Lu:254min/10P/dates=['2020-06-14']/mine=254
2020-06-28-live-01,2020-06-28,【心灵砒霜】有时候可以随波逐流也是一种幸运,241,时长正确,,BV1ik4y1q7jL:242min/10P/dates=['2020-06-28']/mine=242
2020-08-09-live-01,2020-08-09,"【心灵砒霜】可能人人都是一条咸鱼,只是有的人齁一点.",245,时长正确,,BV1wt4y1Q7Yx:245min/2P/dates=['2020-08-09']/mine=245 ; BV1Hp4y1v7UC:245min/9P/dates=['2020-08-09']/mine=245
2020-08-16-live-01,2020-08-16,"【心灵砒霜】人呐,永远都看不到已经有的,只想要那些看不见的",239,时长正确,,BV1Xf4y197Hr:239min/9P/dates=['2020-08-16']/mine=239
2020-08-23-live-01,2020-08-23,"【心灵砒霜】很多问题,其实只需要一个人去倾听去聊",231,时长正确,,BV1y54y1e7Pm:231min/8P/dates=['2020-08-23']/mine=231
2020-08-30-live-01,2020-08-30,"【心灵砒霜】但凡当年知道这ID要用这么多年,肯定得想个酷炫点的",258,时长正确,,BV1Af4y1X7Jh:258min/10P/dates=['2020-08-30']/mine=258 ; BV1tK4y1e7Jy:257min/2P/dates=['2020-08-30']/mine=257
2020-09-06-live-01,2020-09-06,"【心灵砒霜】如果你喜欢的东西,能够恰好给你赚钱,那可太好了",266,时长正确,,BV1dD4y1d78E:266min/7P/dates=['2020-09-06']/mine=266
2020-09-13-live-01,2020-09-13,【心灵砒霜】曾经也有个当舞蹈艺术家的梦想,242,时长正确,,BV1ap4y1e7ao:242min/9P/dates=['2020-09-13']/mine=240
2020-09-27-live-01,2020-09-27,【心灵砒霜】A级心里医生需要怎么排解积累的负能量呢,237,时长正确,,BV1sA411J7J4:237min/8P/dates=['2020-09-27']/mine=237
2020-10-18-live-01,2020-10-18,"【心灵砒霜】只要我还有食欲,就感觉自己应该还没抑郁",243,时长正确,,BV1B54y1R7yr:243min/10P/dates=['2020-10-18']/mine=240
2020-10-25-live-01,2020-10-25,"【心灵砒霜】就是因为找到了自己的笨,才能变的聪明",210,时长正确,,BV1Lp4y1k7R3:238min/10P/dates=['2020-10-25']/mine=237
2020-11-01-live-01,2020-11-01,【心灵砒霜】长大了和小时候有什么区别，就是没有梦想了,256,时长正确,,BV1Dy4y1r7Zj:256min/9P/dates=['2020-11-01']/mine=256
2020-11-08-live-01,2020-11-08,【心灵砒霜】我人生最瘦的时候一度只有几斤,245,时长正确,,BV1wT4y1c7AV:245min/9P/dates=['2020-11-08']/mine=245
2020-11-15-live-01,2020-11-15,"【心灵砒霜】在我小时候,打游戏这件事情是有""门槛的""",212,时长正确,,BV1ip4y167tP:268min/8P/dates=['2020-11-15']/mine=268
2020-11-22-live-01,2020-11-22,"【心灵砒霜】所谓理想的生活,是需要理想的能力去匹配",287,时长正确,,BV1qa4y1p7hb:287min/10P/dates=['2020-11-22']/mine=287
2020-11-29-live-01,2020-11-29,【心灵砒霜】可能我们唯一有价值的东西就是时间本身,235,时长正确,,BV1u54y167mA:235min/11P/dates=['2020-11-29']/mine=234
2020-12-06-live-01,2020-12-06,"【心灵砒霜】关系越好,才越需要注意礼数和周到",264,时长正确,,BV1nv411b78T:264min/10P/dates=['2020-12-06']/mine=264
2020-12-13-live-01,2020-12-13,"【心灵砒霜】人生没有对照组,所以没有那么多如果",254,时长正确,,BV1rK4y1L7z7:254min/11P/dates=['2020-12-13']/mine=254
2020-12-20-live-01,2020-12-20,"【心灵砒霜】如果表白就不用还钱的话,那人人都不用还花呗了",276,时长正确,,BV18t4y1k7zj:276min/11P/dates=['2020-12-20']/mine=276
2020-12-27-live-01,2020-12-27,"【心灵砒霜】不是因为她是学霸所以她学习好,因果关系反啦",248,时长正确,,BV1Xa4y1J7Uz:248min/11P/dates=['2020-12-27']/mine=248
2021-01-03-live-01,2021-01-03,"【心灵砒霜】快乐只存在于现在,悲伤却能延续",264,时长正确,,BV1Ci4y1F7KJ:265min/11P/dates=['2021-01-03']/mine=264
2021-01-10-live-01,2021-01-10,"【心灵砒霜】我这不是油头,这叫发型",256,时长正确,,BV1ci4y1c7oo:256min/10P/dates=['2021-01-10']/mine=256
2021-01-17-live-01,2021-01-17,【心灵砒霜】让二哥指导化妆是一种怎样的体验,240,时长正确,,BV1dA411H7cZ:240min/9P/dates=['2021-01-17']/mine=240
2021-01-24-live-01,2021-01-24,"【心灵砒霜】越是谨小慎微的关系,越容易破碎",246,时长正确,,BV1Yf4y1k7uK:246min/10P/dates=['2021-01-24']/mine=246
2021-01-31-live-01,2021-01-31,"【心灵砒霜】""这下凡的时候咋也没给选个好看的皮肤呢""",247,时长正确,,BV1GN411o7eF:247min/11P/dates=['2021-01-31']/mine=247
2021-02-07-live-01,2021-02-07,"【心灵砒霜】三次元没内味儿,还得是二次元",253,时长正确,,BV1gK4y1Q7Dh:253min/11P/dates=['2021-02-07']/mine=252
2021-02-13-live-01,2021-02-13,马里奥3D世界NS版来啦,226,一条录像覆盖同日多条,,BV1QK4y1n7u5:325min/6P/dates=[]/mine=0 ; BV1Gr4y1N7Ed:226min/4P/dates=['2021-02-13']/mine=226
2021-02-14-live-01,2021-02-14,"【心灵砒霜】孩子会打酱油了不起啊,我自己不会吗",234,时长正确,,BV1Cy4y1Y78b:234min/10P/dates=['2021-02-14']/mine=234
2021-02-21-live-01,2021-02-21,"【心灵砒霜】很少有不会的题,懵一般都不会懵对",238,时长正确,,BV1CV411e7GJ:238min/10P/dates=['2021-02-21']/mine=238
