date,weekday,schedule_items,category_code,category,live_entries_before,disposition,action,live_entries_after
2016-01-13,三,新春日历拍照,4,仅节目单（候选）,,节目单：新春日历拍照。无快照、无同期帖、无录像，不建条目（新春日历拍照）,,
2016-01-18,一,汇报工作,4,仅节目单（候选）,,节目单：汇报工作。无快照、无同期帖、无录像，不建条目（汇报工作）,,
2016-01-19,二,Poly Bridge,0,已有条目·内容一致,2016-01-19-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-01-19-live-01
2016-01-20,三,心灵砒霜,0,已有条目·内容一致,2016-01-20-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-01-20-live-01
2016-01-22,五,史莱姆牧场Slime Racher | 安可唱歌,0,已有条目·内容一致,2016-01-22-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-01-22-live-01
2016-01-24,日,周年庆 | MC直播服,2,已有条目·缺内容,2016-01-24-live-01,节目单与葵kiss 同期贴吧记录都记这款游戏，条目原先没登记,补登 minecraft,2016-01-24-live-01
2016-01-26,二,Poly Bridge,0,已有条目·内容一致,2016-01-26-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-01-26-live-01
2016-01-27,三,节奏天国 | 箱子男孩BoxBoy,2,已有条目·缺内容,2016-01-27-live-01,节目单另记「节奏天国」，条目未收；只有节目单一处，未改条目,,2016-01-27-live-01
2016-01-28,四,赤途,0,已有条目·内容一致,2016-01-28-live-01 | 2016-01-28-live-02,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-01-28-live-01 | 2016-01-28-live-02
2016-01-29,五,赤途,0,已有条目·内容一致,2016-01-29-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-01-29-live-01
2016-01-31,日,心灵砒霜,0,已有条目·内容一致,2016-01-31-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-01-31-live-01
2016-02-01,一,塞尔达三角力量,0,已有条目·内容一致,2016-02-01-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-02-01-live-01
2016-02-02,二,DQ建造者日文,0,已有条目·内容一致,2016-02-02-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-02-02-live-01
2016-02-14,日,猴年第一播 | 看西游记聊天,4,仅节目单（候选）,,节目单：猴年第一播 | 看西游记聊天。无快照、无同期帖、无录像，不建条目（猴年第一播、看西游记聊天）,,
2016-02-17,三,聊天 | 火影忍者终极风暴4 | 节奏天国,2,已有条目·缺内容,2016-02-17-live-01,节目单另记「火影忍者终极风暴4、节奏天国」，条目未收；只有节目单一处，未改条目,,2016-02-17-live-01
2016-02-18,四,节奏天国 | 火影忍者终极风暴4,2,已有条目·缺内容,2016-02-18-live-01,节目单另记「节奏天国、火影忍者终极风暴4」，条目未收；只有节目单一处，未改条目,,2016-02-18-live-01
2016-02-19,五,毛线小精灵Unravel,0,已有条目·内容一致,2016-02-19-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-02-19-live-01
2016-02-20,六,街霸V | 生锈小湖新章Birthday,0,已有条目·内容一致,2016-02-20-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-02-20-live-01
2016-02-21,日,心灵砒霜 | 节奏天国,2,已有条目·缺内容,2016-02-21-live-01,节目单另记「节奏天国」，条目未收；只有节目单一处，未改条目,,2016-02-21-live-01
2016-02-23,二,MC水星生存日记 | 看游戏视频 | 节奏天国,2,已有条目·缺内容,2016-02-23-live-01,节目单另记「看游戏视频、节奏天国」，条目未收；只有节目单一处，未改条目,,2016-02-23-live-01
2016-02-24,三,逆袭之星光闪耀 | 光之子录像,0,已有条目·内容一致,2016-02-24-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-02-24-live-01
2016-02-25,四,孤岛惊魂 | 闲聊,2,已有条目·缺内容,2016-02-25-live-01,节目单另记「闲聊」，条目未收；只有节目单一处，未改条目,,2016-02-25-live-01
2016-02-26,五,逆转裁判录像 | 聊天,1,独立证实·新建直播日,2016-02-26-live-01,斗鱼主机分区列表页存档 16:07 收录她的直播间（标题「休息一下。。。。」）；内容只有节目单,新建 2016-02-26-live-01（high，games 空）,2016-02-26-live-01
2016-02-28,日,看天线宝宝 | 看天花板 | 看越狱兔 | 画画,1,独立证实·新建直播日,2016-02-28-live-01,斗鱼全部分区列表页存档 11:52 收录她的直播间（标题「休息一下。。。。」）；内容只有节目单,新建 2016-02-28-live-01（high，games 空）,2016-02-28-live-01
2016-02-29,一,霹雳爷们代播 | 无录像,6,非直播／活动／休息,,节目单「霹雳爷们代播、无录像」；存档直播间页 17:36 标题「66姐以后要多喝水！早日康复！我们一直在」（元气领域），是别人代播，不是她本人直播,不建条目,
2016-03-02,三,逆袭之星光闪耀 | 节奏天国,2,已有条目·缺内容,2016-03-02-live-01,节目单另记「节奏天国」，条目未收；只有节目单一处，未改条目,,2016-03-02-live-01
2016-03-03,四,新发型首秀 | 传说之下Undertale三周目,2,已有条目·缺内容,2016-03-03-live-01,节目单另记「新发型首秀」，条目未收；只有节目单一处，未改条目,,2016-03-03-live-01
2016-03-04,五,B站MC建筑大赛评选,0,已有条目·内容一致,2016-03-04-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-03-04-live-01
2016-03-06,日,心灵砒霜,0,已有条目·内容一致,2016-03-06-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-03-06-live-01
2016-03-07,一,传说之下Undertale三周目,0,已有条目·内容一致,2016-03-07-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-03-07-live-01
2016-03-09,三,逆袭之星光闪耀 | 星露谷物语Stardew Valley,2,已有条目·缺内容,2016-03-09-live-01,节目单与葵kiss 同期贴吧记录都记这款游戏，条目原先没登记,补登 nixizhixingtu-shanyao,2016-03-09-live-01
2016-03-10,四,星露谷物语Stardew Valley,0,已有条目·内容一致,2016-03-10-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-03-10-live-01
2016-03-11,五,星露谷物语Stardew Valley,0,已有条目·内容一致,2016-03-11-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-03-11-live-01
2016-03-12,六,星露谷物语Stardew Valley,0,已有条目·内容一致,2016-03-12-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-03-12-live-01
2016-03-13,日,心灵砒霜 | 星露谷物语Stardew Valley,2,已有条目·缺内容,2016-03-13-live-01,节目单与葵kiss 同期贴吧记录都记这款游戏，条目原先没登记,补登 stardew-valley,2016-03-13-live-01
2016-03-15,二,星露谷物语Stardew Valley,0,已有条目·内容一致,2016-03-15-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-03-15-live-01
2016-03-16,三,星露谷物语Stardew Valley,0,已有条目·内容一致,2016-03-16-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-03-16-live-01
2016-03-17,四,星露谷物语Stardew Valley,0,已有条目·内容一致,2016-03-17-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-03-17-live-01
2016-03-20,日,心灵砒霜 | 逆袭之星光闪耀,2,已有条目·缺内容,2016-03-20-live-01,节目单另记「逆袭之星光闪耀」，条目未收；只有节目单一处，未改条目,,2016-03-20-live-01
2016-03-21,一,几何冲刺 | 星露谷物语Stardew Valley,2,已有条目·缺内容,2016-03-21-live-01,节目单另记「几何冲刺」，条目未收；只有节目单一处，未改条目,,2016-03-21-live-01
2016-03-22,二,几何冲刺 | 星露谷物语Stardew Valley,2,已有条目·缺内容,2016-03-22-live-01,节目单另记「几何冲刺」，条目未收；只有节目单一处，未改条目,,2016-03-22-live-01
2016-03-24,四,几何冲刺 | 星露谷物语Stardew Valley,2,已有条目·缺内容,2016-03-24-live-01,节目单另记「几何冲刺」，条目未收；只有节目单一处，未改条目,,2016-03-24-live-01
2016-03-25,五,跟炸鱼、错觉玩dota | 星露谷物语Stardew Valley,2,已有条目·缺内容,2016-03-25-live-01,节目单另记「跟炸鱼、错觉玩dota」，条目未收；只有节目单一处，未改条目,,2016-03-25-live-01
2016-03-27,日,心灵砒霜 | 索尼活动回顾,0,已有条目·内容一致,2016-03-27-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-03-27-live-01
2016-03-28,一,几何冲刺 | 星露谷物语Stardew Valley,2,已有条目·缺内容,2016-03-28-live-01,节目单与葵kiss 同期贴吧记录都记这款游戏，条目原先没登记,补登 geometry-dash,2016-03-28-live-01
2016-03-31,四,几何冲刺 | 星露谷物语Stardew Valley,2,已有条目·缺内容,2016-03-31-live-01,节目单另记「几何冲刺」，条目未收；只有节目单一处，未改条目,,2016-03-31-live-01
2016-04-04,一,逆转裁判5 | 异星工厂Factorio | 燥热SuperHot,2,已有条目·缺内容,2016-04-04-live-01,节目单另记「逆转裁判5」，条目未收；只有节目单一处，未改条目,,2016-04-04-live-01
2016-04-05,二,聊天 | 霓虹院大亨HunieCam Studio | 料理妈妈COOKING MAMA | 逆转裁判5,2,已有条目·缺内容,2016-04-05-live-01,节目单另记「料理妈妈COOKING MAMA、逆转裁判5」，条目未收；只有节目单一处，未改条目,,2016-04-05-live-01
2016-04-06,三,逆转裁判5,0,已有条目·内容一致,2016-04-06-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-06-live-01
2016-04-07,四,逆转裁判5,0,已有条目·内容一致,2016-04-07-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-07-live-01
2016-04-08,五,逆转裁判5,0,已有条目·内容一致,2016-04-08-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-08-live-01
2016-04-10,日,心灵砒霜,0,已有条目·内容一致,2016-04-10-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-10-live-01
2016-04-11,一,传送门2,0,已有条目·内容一致,2016-04-11-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-11-live-01
2016-04-12,二,瑞奇与叮当 | 生锈小湖新章Theatre,2,已有条目·缺内容,2016-04-12-live-01,节目单另记「瑞奇与叮当」，条目未收；只有节目单一处，未改条目,,2016-04-12-live-01
2016-04-13,三,星露谷物语Stardew Valley,0,已有条目·内容一致,2016-04-13-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-13-live-01
2016-04-14,四,星露谷物语Stardew Valley | 逆转裁判5,2,已有条目·缺内容,2016-04-14-live-01,节目单另记「逆转裁判5」，条目未收；只有节目单一处，未改条目,,2016-04-14-live-01
2016-04-15,五,星露谷物语Stardew Valley,0,已有条目·内容一致,2016-04-15-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-15-live-01
2016-04-17,日,心灵砒霜,0,已有条目·内容一致,2016-04-17-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-17-live-01
2016-04-18,一,逆转裁判5,0,已有条目·内容一致,2016-04-18-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-18-live-01
2016-04-19,二,逆转裁判5,0,已有条目·内容一致,2016-04-19-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-19-live-01
2016-04-20,三,星露谷物语Stardew Valley,0,已有条目·内容一致,2016-04-20-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-20-live-01
2016-04-22,五,星露谷物语Stardew Valley,0,已有条目·内容一致,2016-04-22-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-22-live-01
2016-04-24,日,心灵砒霜,0,已有条目·内容一致,2016-04-24-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-24-live-01
2016-04-25,一,星露谷物语Stardew Valley,0,已有条目·内容一致,2016-04-25-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-25-live-01
2016-04-26,二,星露谷物语Stardew Valley,0,已有条目·内容一致,2016-04-26-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-26-live-01
2016-04-27,三,星露谷物语Stardew Valley,0,已有条目·内容一致,2016-04-27-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-27-live-01
2016-04-29,五,黑魂3,0,已有条目·内容一致,2016-04-29-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-29-live-01
2016-04-30,六,心灵砒霜 | 黑魂3,0,已有条目·内容一致,2016-04-30-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-04-30-live-01
2016-05-02,一,黑魂3,0,已有条目·内容一致,2016-05-02-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-02-live-01
2016-05-03,二,黑魂3,0,已有条目·内容一致,2016-05-03-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-03-live-01
2016-05-04,三,黑魂3,0,已有条目·内容一致,2016-05-04-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-04-live-01
2016-05-05,四,黑魂3,0,已有条目·内容一致,2016-05-05-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-05-live-01
2016-05-06,五,黑魂3,0,已有条目·内容一致,2016-05-06-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-06-live-01
2016-05-07,六,黑魂3,0,已有条目·内容一致,2016-05-07-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-07-live-01
2016-05-08,日,心灵砒霜,0,已有条目·内容一致,2016-05-08-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-08-live-01
2016-05-09,一,黑魂3,0,已有条目·内容一致,2016-05-09-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-09-live-01
2016-05-10,二,DQ建造者,0,已有条目·内容一致,2016-05-10-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-10-live-01
2016-05-11,三,DQ建造者,0,已有条目·内容一致,2016-05-11-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-11-live-01
2016-05-16,一,DQ建造者,0,已有条目·内容一致,2016-05-16-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-16-live-01
2016-05-17,二,DQ建造者,0,已有条目·内容一致,2016-05-17-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-17-live-01
2016-05-19,四,DQ建造者,0,已有条目·内容一致,2016-05-19-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-19-live-01
2016-05-20,五,DQ建造者,0,已有条目·内容一致,2016-05-20-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-20-live-01
2016-05-22,日,心灵砒霜 | 玩胖子1,0,已有条目·内容一致,2016-05-22-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-22-live-01
2016-05-23,一,DQ建造者,0,已有条目·内容一致,2016-05-23-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-23-live-01
2016-05-24,二,DQ建造者,0,已有条目·内容一致,2016-05-24-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-24-live-01
2016-05-25,三,聊天 | 玩胖子2,0,已有条目·内容一致,2016-05-25-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-25-live-01
2016-05-26,四,DQ建造者 | 玩胖子3,0,已有条目·内容一致,2016-05-26-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-26-live-01
2016-05-27,五,DQ建造者 | 玩胖子4,0,已有条目·内容一致,2016-05-27-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-27-live-01
2016-05-31,二,逆袭之星光闪耀 | 玩胖子5,0,已有条目·内容一致,2016-05-31-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-05-31-live-01
2016-06-01,三,逆袭之星光闪耀 | 极限脱出 | 玩胖子6,0,已有条目·内容一致,2016-06-01-live-01 | 2016-06-01-live-02,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-06-01-live-01 | 2016-06-01-live-02
2016-06-02,四,跟炸鱼刘能联机桌游Tabletop Simulato | Lifeboats怒海求生 | Once Upon A Time | 小小地狱火 | 玩胖子7,2,已有条目·缺内容,2016-06-02-live-01 | 2016-06-02-live-02 | 2016-06-02-live-03,节目单另记「跟炸鱼刘能联机桌游Tabletop Simulato」，条目未收；只有节目单一处，未改条目,,2016-06-02-live-01 | 2016-06-02-live-02 | 2016-06-02-live-03
2016-06-03,五,小小地狱火Little Inferno | 玩胖子8,0,已有条目·内容一致,2016-06-03-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-06-03-live-01
2016-06-04,六,几何冲刺 | 盐与避难所Salt and Sanctuary | 玩胖子9,0,已有条目·内容一致,2016-06-04-live-01 | 2016-06-04-live-02,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-06-04-live-01 | 2016-06-04-live-02
2016-06-05,日,心灵砒霜 | 玩胖子10 | 高考专栏,2,已有条目·缺内容,2016-06-05-live-01,节目单另记「高考专栏」，条目未收；只有节目单一处，未改条目,,2016-06-05-live-01
2016-06-06,一,几何冲刺 | 守望开包 | 玩胖子11,2,已有条目·缺内容,2016-06-06-live-01,节目单另记「守望开包」，条目未收；只有节目单一处，未改条目,,2016-06-06-live-01
2016-06-07,二,Poly Bridge | 玩胖子12,0,已有条目·内容一致,2016-06-07-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-06-07-live-01
2016-06-08,三,几何冲刺,0,已有条目·内容一致,2016-06-08-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-06-08-live-01
2016-06-09,四,几何冲刺 | 模拟人生 | 下午户外北京漫控潮流博览会,0,已有条目·内容一致,2016-06-09-live-01 | 2016-06-09-live-02,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-06-09-live-01 | 2016-06-09-live-02
2016-06-10,五,果壳网,0,已有条目·内容一致,2016-06-10-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-06-10-live-01
2016-06-13,一,LA户外,3,相邻日错位,,洛杉矶户外实际在 06-12（录像小屋《女流-6.12-洛杉矶santa monica》，已在档 2016-06-12-live-01）；节目单这行比档案晚一天，疑按北京时间记,不改；节目单 06-12 无行,
2016-06-14,二,微软发布会,0,已有条目·内容一致,2016-06-14-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-06-14-live-01
2016-06-16,四,E3展台,0,已有条目·内容一致,2016-06-16-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-06-16-live-01
2016-06-21,二,LA见闻录,0,已有条目·内容一致,2016-06-21-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-06-21-live-01
2016-06-24,五,幽灵诡计Ghost Trick,0,已有条目·内容一致,2016-06-24-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-06-24-live-01
2016-06-25,六,幽灵诡计Ghost Trick,0,已有条目·内容一致,2016-06-25-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-06-25-live-01
2016-06-26,日,心灵砒霜 | JOJO01,0,已有条目·内容一致,2016-06-26-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-06-26-live-01
2016-06-27,一,幽灵诡计Ghost Trick | JOJO02 | 果壳网,2,已有条目·缺内容,2016-06-27-live-01,节目单另记「果壳网」，条目未收；只有节目单一处，未改条目,,2016-06-27-live-01
2016-06-28,二,幽灵诡计Ghost Trick | JOJO03,0,已有条目·内容一致,2016-06-28-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-06-28-live-01
2016-06-29,三,MC直播服 | JOJO04,0,已有条目·内容一致,2016-06-29-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-06-29-live-01
2016-06-30,四,MC直播服 | JOJO05,0,已有条目·内容一致,2016-06-30-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-06-30-live-01
2016-07-03,日,心灵砒霜,0,已有条目·内容一致,2016-07-03-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-07-03-live-01
2016-07-04,一,逆袭之星光闪耀 | JOJO06 | 第一帝宠,2,已有条目·缺内容,2016-07-04-live-01,节目单另记「第一帝宠」，条目未收；只有节目单一处，未改条目,,2016-07-04-live-01
2016-07-05,二,调试采集卡 | 试玩初音,2,已有条目·缺内容,2016-07-05-live-01,节目单另记「调试采集卡」，条目未收；只有节目单一处，未改条目,,2016-07-05-live-01
2016-07-06,三,初音FT | JOJO07,0,已有条目·内容一致,2016-07-06-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-07-06-live-01
2016-07-07,四,初音FT | JOJO08,0,已有条目·内容一致,2016-07-07-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-07-07-live-01
2016-07-08,五,MC直播服 | JOJO09,0,已有条目·内容一致,2016-07-08-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-07-08-live-01
2016-07-09,六,周六聊天 | JOJO10,0,已有条目·内容一致,2016-07-09-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-07-09-live-01
2016-07-10,日,心灵砒霜 | JOJO11,0,已有条目·内容一致,2016-07-10-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-07-10-live-01
2016-07-11,一,黎明杀机 | 单车/DC联机 | JOJO12,2,已有条目·缺内容,2016-07-11-live-01,节目单另记「单车/DC联机」，条目未收；只有节目单一处，未改条目,,2016-07-11-live-01
2016-07-12,二,MC直播服 | JOJO13,0,已有条目·内容一致,2016-07-12-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-07-12-live-01
2016-07-21,四,双子传说 | JOJO14,0,已有条目·内容一致,2016-07-21-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-07-21-live-01
2016-07-22,五,传送门骑士Portal Knights | JOJO15,0,已有条目·内容一致,2016-07-22-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-07-22-live-01
2016-07-23,六,星界边境Starbound | JOJO16,0,已有条目·内容一致,2016-07-23-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-07-23-live-01
2016-07-24,日,心灵砒霜 | JOJO17,0,已有条目·内容一致,2016-07-24-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-07-24-live-01
2016-07-25,一,星界边境Starbound,0,已有条目·内容一致,2016-07-25-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-07-25-live-01
2016-07-26,二,星界边境Starbound,0,已有条目·内容一致,2016-07-26-live-01 | 2016-07-26-live-02,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-07-26-live-01 | 2016-07-26-live-02
2016-07-27,三,上海户外,1,独立证实·新建直播日,2016-07-27-live-01,存档直播间页缩略图 2016-07-27 14:08 + 女流录像小屋当天 18:04 投的《7.27-上海》片段（4 分钟）,新建 2016-07-27-live-01（high，片段来源）,2016-07-27-live-01
2016-07-28,四,香港索尼发布会,0,已有条目·内容一致,2016-07-28-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-07-28-live-01
2016-07-29,五,香港ACG,0,已有条目·内容一致,2016-07-29-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-07-29-live-01
2016-08-04,四,逆袭之星光闪耀、Replica | JOJO18,0,已有条目·内容一致,2016-08-04-live-01 | 2016-08-04-live-02,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-08-04-live-01 | 2016-08-04-live-02
2016-08-05,五,星界边境Starbound,0,已有条目·内容一致,2016-08-05-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-08-05-live-01
2016-08-07,日,心灵砒霜 | JOJO19,0,已有条目·内容一致,2016-08-07-live-01,节目单内容与条目一致（或只多聊天、砒霜、邮件等非游戏段落）,,2016-08-07-live-01
