target_id,priority,category,date,archive_entries,title,why_it_matters,existence_evidence,known_dead_links,surviving_or_recovered_sources,status_2026_09_24,best_next_lead
T11,P3,重点目标,2018-04-14,2018-04-14-live-01,《逃出生天 A Way Out》（与壮壮）,姐弟合作场；录像是有意不发布的,贴吧 2018 专贴；p/5650322261「因为这个录像不太正能量，所以没上传」；导航帖吧务「游戏内容影响不好，所以录像都没有的」,当天白天曾短暂出现在 B站，晚上撤下（楼主转述）,无,无公开线索,不主动征集：是主播方决定不公开的内容
T12,P2,重点目标,2017-01-08 等,,年报点名的大事件（UCG2016 游戏大赏近 5 小时全程、霹雳侠节目等）,年度报告里列为年度大事件,2017/2018 年度直播报告；斗鱼 CMS 专题页,—,UCG 官方 35 分钟奖项版与花絮（片段）,部分找回,游戏时光 / UCG 斗鱼房间录像；霹雳爷们儿节目组优酷旧库
T13,P2,重点目标,2015-07～08,2015-07-17-live-01 | 2015-08-19-live-01 | 2015-08-21-live-01,2015 年夏天吧友剪辑的失落片段,这几天没有整场录像，剪辑是唯一的画面,task-045/046 登记,A站 ac2034005《女流干不出这种事儿~》、ac2026746（404，上传者现为 0 投稿）；08-11/08-20/08-21 三段土豆剪辑；07-31 ChinaJoy 晚展示礼物（优酷已屏蔽 XMTI5ODM3MTkxNg==）,视频全失；给俺泡泡502 的 7 条中 6 条有 2015 年 Wayback 页（标题与简介）,来源已失效·元数据在,A站 uid 1042937「给俺泡泡502」7 条女流切片（ac2006301 ac2022238 ac2034005 ac2040270 ac2052199 ac2054121 ac2091776）的 Wayback 页：取标题、简介、投稿时刻找母场（task-049 §4）；土豆三个 vid 的 Wayback 页
T14,P2,重点目标,2020-07-17,2020-07-17-live-02,对马岛之鬼 2020-07-17（原标「缺 P1-P4」）,档案标记为「只有下半场」，需要核实,录像小屋 BV1bf4y1R79u 7 个分P P1-P7 共 6:50:08,—,录像小屋全场；秘密录像屋全场 BV1mD4y1m7X4（本轮补挂）；A站只有 P5-P7,已找回可播放来源,无——「缺上半场」只是 A站那份，档案已订正
T15,P3,重点目标,2022-08-03,2022-08-03-live-01,华语乐坛金曲回顾（中段约 97 分钟无存档）,现存两段之间缺一段,UID 8290691 自动录制两段,—,BV1tW4y1a7mn（2:45）＋ BV16d4y1T7Ma（0:31）,部分找回,同日斗鱼回看或其他录播号
T16,P3,重点目标,2015-03-21 / 2023-04-05 / 2023-04-15 / 2021-02-13,2015-03-21（奥日，只有节目表转述，未建条目） | 2021-02-13（雀姬，未建条目）,零星未决日,贴吧记了直播，档案无条目或无来源,贴吧逐日记录；2021-02-13 仅有时长描述；2015-03-21 只有 ardea1347 2017 年按节目表答的「2015.03.18、21」，当天 13:25 快照未开播（task-049 §9）,—,无,未决,当天斗鱼快照、其他录播号
T17,P2,重点目标,2016-01-05,2016-01-05-live-01,星之契约（谁是你爸爸 & 星之契约）,当天条目无录像，但官方优酷有一段疑似当天的录像,贴吧 2016 专贴 1/5；task-043 转写线索都指向 01-05 但未自报日期,—,官方优酷 XMTQzOTQwMTQ4NA==（70:40，2016-01-08 上传），未挂,未决,片中能自证日期的一句话（完整转写还没做）
T18,P1,重点目标,2010-05-08,2010-05-08-video-01,视频时代第一支视频《小型单机游戏之迷画之塔》,她的首作；档案「首作」标签所在条目,官方优酷页面 JSON-LD 上线时间 2010-05-08 17:55:58,v.youku.com XMTcxMzcyMjAw：2026-09-24 播放接口返回「该视频已经加密，请输入密码」，公开无法播放,B站 BV1rW411y7cc（2018-10-07 直播中回看这支视频的片段，7:43，只含一部分）,部分找回,优酷设密码可能是上传者（她本人）的操作，可能恢复；定期复查；找公开的转载副本
,P3,来源全部失效,2010-05-10,2010-05-10-video-01,【女流】小游戏也可以很暴力。。。第一弹,,见条目 note,https://v.youku.com/v_show/id_XMTcxNzY2Mjg4.html,,来源已失效·元数据在,当年录播员的私人备份
,P3,来源全部失效,2013-09-04,2013-09-04-video-01,【女流】进击的巨人同人游戏【巨人の猎手】试玩解说,,见条目 note,https://v.youku.com/v_show/id_XNjA1MDcxMTQ0.html,,来源已失效·元数据在,当年录播员的私人备份
,P2,无任何来源,2015-01-26,2015-01-26-live-01,I Wanna（版本未定）,,见条目 note,,,无公开线索,当年录播员的私人备份
,P2,无任何来源,2015-02-11,2015-02-11-live-01,水友赛+2点半Braid时空幻境,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-03-18,2015-03-18-live-01,我是谁？,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-03-19,2015-03-19-live-01,我是谁？,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-03-20,2015-03-20-live-01,我是谁？,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-03-23,2015-03-23-live-01,我是谁？,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-03-27,2015-03-27-live-01,女流GTA5线上模式,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-03-30,2015-03-30-live-01,GTA5,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-03-31,2015-03-31-live-01,女流GTA5,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-04-03,2015-04-03-live-01,霸道总裁爱上。。。谁,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
T02,P2,无任何来源,2015-04-10,2015-04-10-live-01,霸道间谍爱上。。我,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-04-20,2015-04-20-live-01,小游戏大合集,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-04-23,2015-04-23-live-01,传送门1,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-04-24,2015-04-24-live-01,传送门2女流被喷记,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-04-28,2015-04-28-live-01,FEZ是一个神奇的游戏,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-05-14,2015-05-14-live-01,雷曼传奇,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-05-21,2015-05-21-live-01,直播标题已遗失,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-06-04,2015-06-04-live-01,直播标题已遗失,,见条目 note,,,私人/网盘线索,2015-06-29 前录像：合集 pan.baidu.com/s/1jIJhhnK（2016-10 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM（2015-08-30 起）→ 1hq6NYbM（2015-09-26 起），已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
T05,P2,只有片段,2015-07-06,2015-07-06-live-01,造完飞机去找狗,,见条目 note,,acfun.cn（clip）,部分找回,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-07-09,2015-07-09-live-01,肚子还有点儿疼,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
T05,P2,无任何来源,2015-07-10,2015-07-10-live-01,今天就是要找一只狗,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
T05,P2,无任何来源,2015-07-13,2015-07-13-live-01,交出你手上的钻石镐,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
T13,P2,无任何来源,2015-07-17,2015-07-17-live-01,我活着回来了,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
T05,P2,无任何来源,2015-08-03,2015-08-03-live-01,大周还认不认我这个王,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-08-14,2015-08-14-live-01,反恐精英Online与我的世界,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-08-17,2015-08-17-live-01,我想的美,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
T13,P2,无任何来源,2015-08-19,2015-08-19-live-01,感觉不是很妙,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
T13,P2,无任何来源,2015-08-21,2015-08-21-live-01,土木工程专业错失人才,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-08-27,2015-08-27-live-01,PT寂静岭,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-08-30,2015-08-30-live-01,心灵砒霜,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
T05,P2,无任何来源,2015-08-31,2015-08-31-live-01,我的世界,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-09-02,2015-09-02-live-01,药是甜的,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-09-03,2015-09-03-live-01,我的世界,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-09-11,2015-09-11-live-01,新作到手：折纸世界,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-09-14,2015-09-14-live-01,打包行李,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-09-16,2015-09-16-live-01,户外信号不好直播推迟,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
,P2,无任何来源,2015-09-21,2015-09-21-live-01,公园,,见条目 note,,,私人/网盘线索,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
T03,P2,来源全部失效,2015-09-27,2015-09-27-live-01,心灵砒霜,,见条目 note,https://v.youku.com/v_show/id_XMTM1MDQ1NDE4OA==.html,,来源已失效·元数据在,2015-06-29 后录像：合集 pan.baidu.com/s/1eSB54I2（2017-12 重分享，已失效，ardea1347／uk 3406207715）；当年录像组逐日盘 1eQIvAOM → 1hq6NYbM → 1mgB3ucw，已失效，gijj1986／uk 3859185200。持有人联系不上，只作溯源
