logged_live_date,games,floor,post_date,timing_note,source_url
2016-04-04,factorio异星工厂；SuperHot；逆转裁判5,33,2016-04-04,当日,https://tieba.baidu.com/p/4363790737
2016-04-05,hunie cam studio；逆转裁判5,34,2016-04-05,当日,https://tieba.baidu.com/p/4363790737
2016-04-06,逆转裁判5,35,2016-04-06,当日,https://tieba.baidu.com/p/4363790737
2016-04-07,逆转裁判5,36,2016-04-07,当日,https://tieba.baidu.com/p/4363790737
2016-04-08,逆转裁判5,38,2016-04-08,当日,https://tieba.baidu.com/p/4363790737
2016-04-11,传送门2,39,2016-04-11,当日,https://tieba.baidu.com/p/4363790737
2016-04-12,生锈小湖解密新章theatre；国行ps4瑞奇与叮当,40,2016-04-12,当日,https://tieba.baidu.com/p/4363790737
2016-04-13,星露谷物语,41,2016-04-13,当日,https://tieba.baidu.com/p/4363790737
2016-04-14,星露谷物语；逆转裁判5,42,2016-04-14,当日,https://tieba.baidu.com/p/4363790737
2016-04-15,星露谷物语,43,2016-04-15,当日,https://tieba.baidu.com/p/4363790737
2016-04-18,逆转裁判5（3ds）,44,2016-04-18,当日,https://tieba.baidu.com/p/4363790737
2016-04-19,逆转裁判5,45,2016-04-20,次日,https://tieba.baidu.com/p/4363790737
2016-04-20,星露谷物语,45,2016-04-20,当日,https://tieba.baidu.com/p/4363790737
2016-04-22,星露谷物语,46,2016-04-22,当日,https://tieba.baidu.com/p/4363790737
2016-04-27,星露谷物语,51,2016-04-27,当日,https://tieba.baidu.com/p/4363790737
2016-05-02,黑暗之魂3（PS4）,54,2016-05-02,当日,https://tieba.baidu.com/p/4363790737
2016-05-03,黑暗之魂3（PS4）,55,2016-05-03,当日,https://tieba.baidu.com/p/4363790737
2016-05-06,黑暗之魂3,58,2016-05-06,当日,https://tieba.baidu.com/p/4363790737
2016-05-07,黑暗之魂3,60,2016-05-08,次日,https://tieba.baidu.com/p/4363790737
2016-05-10,勇者斗恶龙建造者,62,2016-05-10,当日,https://tieba.baidu.com/p/4363790737
2016-05-11,勇者斗恶龙建造者,63,2016-05-11,当日,https://tieba.baidu.com/p/4363790737
2016-05-16,勇者斗恶龙建造者,64,2016-05-16,当日,https://tieba.baidu.com/p/4363790737
2016-05-17,勇者斗恶龙建造者,66,2016-05-17,当日,https://tieba.baidu.com/p/4363790737
2016-05-19,勇者斗恶龙建造者,67,2016-05-19,当日,https://tieba.baidu.com/p/4363790737
2016-05-20,勇者斗恶龙建造者,68,2016-05-20,当日,https://tieba.baidu.com/p/4363790737
2016-05-23,勇者斗恶龙建造者,69,2016-05-23,当日,https://tieba.baidu.com/p/4363790737
2016-05-24,勇者斗恶龙建造者,73,2016-05-24,当日,https://tieba.baidu.com/p/4363790737
2016-05-26,勇者斗恶龙建造者,75,2016-05-26,当日,https://tieba.baidu.com/p/4363790737
2016-05-27,勇者斗恶龙建造者（完结）；一拳超人 第4集,77,2016-05-28,次日,https://tieba.baidu.com/p/4363790737
2016-05-31,逆袭之星途闪耀（橙光游戏）；一拳超人 第5集,79,2016-05-31,当日,https://tieba.baidu.com/p/4363790737
2016-06-01,逆袭之星途闪耀；极限脱出,80,2016-06-01,当日,https://tieba.baidu.com/p/4363790737
2016-06-02,怒海求生（Tabletop Simulator）；很久很久以前（Once upon a time）；little inferno,81,2016-06-02,当日,https://tieba.baidu.com/p/4363790737
2016-06-03,little inferno,82,2016-06-03,当日,https://tieba.baidu.com/p/4363790737
2016-06-05,几何冲刺；盐和避难所,83,2016-06-04,原文写 6/5 但发帖于 06-04，存疑,https://tieba.baidu.com/p/4363790737
2016-06-06,几何冲刺,84,2016-06-06,当日,https://tieba.baidu.com/p/4363790737
2016-06-07,poly bridge,86,2016-06-07,当日,https://tieba.baidu.com/p/4363790737
2016-07-06,初音未来 Project DIVA Future Tone,97,2016-07-07,次日,https://tieba.baidu.com/p/4363790737
2016-07-07,初音未来 Project DIVA Future Tone,98,2016-07-07,当日,https://tieba.baidu.com/p/4363790737
2016-07-08,我的世界 minecraft 1.9.4,99,2016-07-08,当日；楼中楼答「一般下午三点到下午七点」,https://tieba.baidu.com/p/4363790737
2016-07-11,黎明杀机；传送门骑士,100,2016-07-11,当日,https://tieba.baidu.com/p/4363790737
2016-07-21,兄弟：双子传说,101,2016-07-21,当日,https://tieba.baidu.com/p/4363790737
2016-07-23,Starbound,104,2016-07-23,当日,https://tieba.baidu.com/p/4363790737
2016-08-10,逆转裁判6,112,2016-08-10,当日,https://tieba.baidu.com/p/4363790737
2016-08-12,逆转裁判6,113,2016-08-13,次日,https://tieba.baidu.com/p/4363790737
2016-08-17,tricky towers；守望先锋,115,2016-08-17,当日；均出自观众楼层与楼主回复,https://tieba.baidu.com/p/4363790737
2016-08-19,Turmoil,118,2016-08-19,当日,https://tieba.baidu.com/p/4363790737
2016-08-24,百战天虫WMD,121,2016-08-24,当日,https://tieba.baidu.com/p/4363790737
2016-08-25,百战天虫WMD,122,2016-08-25,当日,https://tieba.baidu.com/p/4363790737
2016-08-26,逆转裁判6,123,2016-08-26,当日,https://tieba.baidu.com/p/4363790737
2016-08-29,逆转裁判6,124,2016-08-29,当日,https://tieba.baidu.com/p/4363790737
2016-09-14,逆转裁判6,127,2016-09-15,次日,https://tieba.baidu.com/p/4363790737
2016-09-15,MC,127,2016-09-15,当日,https://tieba.baidu.com/p/4363790737
2016-09-16,逆转裁判6,128,2016-09-16,当日,https://tieba.baidu.com/p/4363790737
2016-09-19,百战天虫WMD,129,2016-09-19,当日,https://tieba.baidu.com/p/4363790737
2016-09-22,逆转裁判6,132,2016-09-22,当日,https://tieba.baidu.com/p/4363790737
2016-10-03,正或误；JOJO,134,2016-10-04,次日；楼主注「66生日快乐」,https://tieba.baidu.com/p/4363790737
2016-10-05,猫狗大战；overcooked；境界的轮回,137,2016-10-05,当日,https://tieba.baidu.com/p/4363790737
2016-10-06,overcooked；我的英雄学院,138,2016-10-06,当日,https://tieba.baidu.com/p/4363790737
2016-10-09,jojo的奇妙冒险 不灭钻石,141,2016-10-09,当日,https://tieba.baidu.com/p/4363790737
2016-10-10,LISA；潮与虎,142,2016-10-10,当日,https://tieba.baidu.com/p/4363790737
2016-10-11,lisa,144,2016-10-11,当日,https://tieba.baidu.com/p/4363790737
2016-10-12,lisa,145,2016-10-12,原文写「11/12」，发帖于 10-12，应为 10/12,https://tieba.baidu.com/p/4363790737
2016-10-14,仙剑奇侠传3D回合；lisa,147,2016-10-14,当日,https://tieba.baidu.com/p/4363790737
2016-10-16,JOJO的奇妙冒险,148,2016-10-16,当日,https://tieba.baidu.com/p/4363790737
2016-10-21,rusty lake 新章roots,149,2016-10-21,原文无日期，按发帖日,https://tieba.baidu.com/p/4363790737
2016-10-23,JOJO的奇妙冒险,151,2016-10-24,次日,https://tieba.baidu.com/p/4363790737
2016-10-24,橙光文字游戏：后宫三千人,152,2016-10-24,当日,https://tieba.baidu.com/p/4363790737
2016-10-26,几款 VR 游戏（记得有《夏日课堂》）,154,2016-10-27,次日,https://tieba.baidu.com/p/4363790737
2016-10-27,橙光文字游戏：后宫三千人,153,2016-10-27,当日,https://tieba.baidu.com/p/4363790737
2016-10-28,橙光文字游戏：后宫三千人,155,2016-10-28,当日,https://tieba.baidu.com/p/4363790737
2016-11-07,Manual Samuel；几何冲刺,157,2016-11-07,当日,https://tieba.baidu.com/p/4363790737
2016-11-08,inside my radio,158,2016-11-08,当日,https://tieba.baidu.com/p/4363790737
2016-11-15,百战天虫,161,2016-11-15,当日,https://tieba.baidu.com/p/4363790737
2016-11-16,大厦管理者,162,2016-11-16,当日,https://tieba.baidu.com/p/4363790737
2016-11-18,我是警察,163,2016-11-18,当日,https://tieba.baidu.com/p/4363790737
2016-11-19,极限竞速地平线3,164,2016-11-20,次日,https://tieba.baidu.com/p/4363790737
2016-11-22,黑魂3dlc；影之刃2,166,2016-11-23,次日,https://tieba.baidu.com/p/4363790737
2016-11-23,黑魂3DLC；HEX集换英雄,167,2016-11-23,当日,https://tieba.baidu.com/p/4363790737
2016-11-24,黑魂3dlc,168,2016-11-25,次日,https://tieba.baidu.com/p/4363790737
2016-11-25,黑魂3dlc,169,2016-11-27,两日后,https://tieba.baidu.com/p/4363790737
2016-12-05,最终幻想15,171,2016-12-05,当日,https://tieba.baidu.com/p/4363790737
2016-12-07,最后的守护者,172,2016-12-07,当日,https://tieba.baidu.com/p/4363790737
2016-12-08,最后的守护者,173,2016-12-08,当日,https://tieba.baidu.com/p/4363790737
2016-12-12,Event0,174,2016-12-12,当日,https://tieba.baidu.com/p/4363790737
2016-12-15,lisa第三部the joyful,175,2016-12-15,当日,https://tieba.baidu.com/p/4363790737
2016-12-17,战斗砖块剧场 BattleBlock Theater,176,2016-12-17,当日,https://tieba.baidu.com/p/4363790737
2016-12-21,魔兽RPG 地图：金字塔大逃亡、痛苦的聚会,177,2016-12-21,当日,https://tieba.baidu.com/p/4363790737
2016-12-23,像素冒险 owl boy,178,2016-12-23,当日,https://tieba.baidu.com/p/4363790737
2016-12-27,owl boy 猫头鹰男孩,180,2016-12-27,当日,https://tieba.baidu.com/p/4363790737
2016-12-28,owlboy 猫头鹰男孩,181,2016-12-28,当日,https://tieba.baidu.com/p/4363790737
2016-12-30,owlboy 猫头鹰男孩,182,2016-12-30,当日,https://tieba.baidu.com/p/4363790737
