date,weekday,schedule_items,category_code,category,live_entries_before,disposition,action,live_entries_after
2015-02-06,周五,去月球 | I wanna,0,已在档,2015-02-06-live-01,去月球吻合（网盘文件时间定日）；另列 I wanna 未补,,2015-02-06-live-01
2015-02-09,周一,舞力全开 | 太鼓达人 | I wanna | Don’t escape | 马里奥世界u | Don’t escape2,0,已在档,2015-02-09-live-01,Don't Escape 2、马里奥吻合；另列舞力全开、太鼓达人、I wanna，264 分钟录像未见，未补,,2015-02-09-live-01
2015-02-10,周二,舞力全开 | 太鼓达人 | DOTA2 | 马里奥世界u,5,与更强的一手证据矛盾,2015-02-10-live-01,舞力全开、太鼓达人吻合并已在档；节目单另列 DOTA2，但当天录像她说 DOTA2 水友赛是「明天」→ DOTA2 属 02-11,已补 just-dance（录像自述 Wii U 舞力全开）；DOTA2 不补,2015-02-10-live-01
2015-02-11,周三,Braid 时空幻境,1,独立证实同日开播,,直播间快照标题「水友赛+2点半Braid时空幻境」、缩略图 02-11 17:47；02-10 录像预告「明天……打一局 DOTA2」。与节目单 Braid 相合,新建 2015-02-11-live-01,2015-02-11-live-01
2015-02-27,周五,机械迷城,4,仅节目单（候选）,,机械迷城。春节停播到至少 02-25（快照），02-26/27 无证据；02-28 行也列机械迷城,,
2015-02-28,周六,机械迷城 | 我的战争 | shave time | how to cook everything,0,已在档,2015-02-28-live-01,直播做饭吻合；另列机械迷城、我的战争、shave time，现存只 22 分钟片段，未补,,2015-02-28-live-01
2015-03-02,周一,超凡双生 | 铲子骑士 | 这是我的战争 | 我的世界MC,0,已在档,2015-03-02-live-01,超凡双生吻合（任务栏时钟）；另列铲子骑士、这是我的战争、MC，未补,,2015-03-02-live-01
2015-03-03,周二,生化危机启示录2,4,仅节目单（候选）,,生化危机启示录2，无独立证据,,
2015-03-04,周三,马里奥3D世界,4,仅节目单（候选）,,马里奥3D世界，无独立证据,,
2015-03-05,周四,生化危机启示录2 | 永不孤单 | 马里奥世界3D,3,疑似相邻日错位,,无证据；快照证实 03-06 开播而节目单没有 03-06 行，可能是 03-06 那场记早了一天,,
2015-03-07,周六,修电脑 | 你猜我画 | 记事本聊天,3,疑似相邻日错位,,周六，无证据；快照证实 03-06、03-09 开播而节目单都没有，可能对应其中一场,,
2015-03-10,周二,超凡双生,0,已在档,2015-03-10-live-01,超凡双生吻合（任务栏时钟）,,2015-03-10-live-01
2015-03-11,周三,超凡双生 | 马里奥3D世界,0,已在档,2015-03-11-live-01,超凡双生吻合（任务栏时钟）；另列马里奥3D世界未补,,2015-03-11-live-01
2015-03-12,周四,生化危机启示录2,4,仅节目单（候选）,,生化危机启示录2，无独立证据,,
2015-03-17,周二,马里奥3D世界,4,仅节目单（候选）,,马里奥3D世界，无独立证据,,
2015-03-18,周三,奥日与黑暗森林,0,已在档,2015-03-18-live-01,奥日吻合（task-049 已据 2017 答复补登）,,2015-03-18-live-01
2015-03-19,周四,马里奥3D世界 | 生化危机启示录2,1,独立证实同日开播,,快照缩略图 03-19 19:18 证实开播，标题「我是谁？」；节目单马里奥3D世界、生化危机启示录2；吧友 03-22 说「玛叔那个是wii上的，晚上是pc」,新建 2015-03-19-live-01（medium）,2015-03-19-live-01
2015-03-20,周五,马里奥3D世界,1,独立证实同日开播,,快照缩略图 03-20 17:15 证实开播，标题「我是谁？」；节目单马里奥3D世界,新建 2015-03-20-live-01（medium）,2015-03-20-live-01
2015-03-21,周六,马里奥3D世界 | 奥日与黑暗森林 | Love burger | Juxtapose | 变形虫 | 异形虫历险记2 | Mu complex | 避难所2,3,疑似相邻日错位,,节目单列马里奥、奥日与一串小游戏；当天 13:25 快照未开播；节目单没有截图证实的 03-23，这一行可能就是 03-23 那场记早了两天（task-049 §9）,,
2015-03-24,周二,忍龙 | 扫雷,4,仅节目单（候选）,,忍龙、扫雷，无独立证据,,
2015-03-25,周三,忍龙,0,已在档,2015-03-25-live-01,港版 PS4 开箱吻合日期；节目单写忍龙，录像里没有，未补（可能当晚另玩）,,2015-03-25-live-01
2015-03-26,周四,GTA,4,仅节目单（候选）,,GTA，无独立证据（03-27 有快照）,,
2015-03-27,周五,GTA,0,已在档,2015-03-27-live-01,GTA5 吻合,,2015-03-27-live-01
2015-03-30,周一,GTA | 血源诅咒,1,独立证实同日开播,,快照缩略图 03-30 19:11 证实开播；节目单 GTA、血源诅咒；03-27、03-31 直播间标题都是 GTA5,新建 2015-03-30-live-01（medium）,2015-03-30-live-01
2015-03-31,周二,GTA | 海贼无双 | 小小大星球,0,已在档,2015-03-31-live-01,GTA5 吻合；另列海贼无双、小小大星球未补,,2015-03-31-live-01
2015-04-01,周三,GTA5,4,仅节目单（候选）,,GTA5，无独立证据,,
2015-04-02,周四,逆袭之星途闪耀,4,仅节目单（候选）,,逆袭之星途闪耀，无独立证据,,
2015-04-03,周五,逆袭之星途闪耀,0,已在档,2015-04-03-live-01,日期吻合（快照）；节目单写逆袭之星途闪耀，直播间标题「霸道总裁爱上。。。谁」像橙光恋爱题材但不能证明是哪款，未补,,2015-04-03-live-01
2015-04-07,周二,GTA5,4,仅节目单（候选）,,GTA5，无独立证据（南瓜先生录像的有界区间内）,,
2015-04-08,周三,植物大战僵尸花园战争 | 南瓜先生大冒险,4,仅节目单（候选）,,植物大战僵尸花园战争、南瓜先生大冒险。A站 ac1839929《南瓜先生大冒险》整场录像只能定在 04-06～04-14；节目单把南瓜先生放在 04-08，在区间内。全片转写没有自报日期（只有零食店「今天是最后一天」「今天12点之前是最后的包邮」），节目单又有一两天的误差，不据此定日,,
2015-04-09,周四,湖边小屋Lakeview Cabin Collection | 穿越之姻缘劫,4,仅节目单（候选）,,Lakeview Cabin、穿越之姻缘劫，无独立证据；官方 04-07 已投 Lakeview Cabin 视频,,
2015-04-10,周五,大金刚 | 潜伏之赤途,0,已在档,2015-04-10-live-01,赤途吻合（列表页快照标题）；另列大金刚未补,,2015-04-10-live-01
2015-04-13,周一,潜伏之赤途 | 逆袭之星途闪耀,4,仅节目单（候选）,,赤途、逆袭。吧友 2016 年「四月十号和十三号」自称取自置顶网盘帖，与节目单同源（录像文件日期），不算独立证据,,
2015-04-14,周二,潜伏之赤途 | 驾驶俱乐部 driveclub,4,仅节目单（候选）,,赤途、驾驶俱乐部。2016-09 吧友求「2015 4.14日的补全」也出自网盘文件名，与节目单同源,,
2015-04-15,周三,潜伏之赤途,4,仅节目单（候选）,,赤途（大结局）。2017 年吧友说「2015.4.15号那天的录像」出自置顶网盘帖，与节目单同源,,
2015-04-16,周四,驾驶俱乐部,4,仅节目单（候选）,,驾驶俱乐部，无独立证据,,
2015-04-17,周五,the tell-tale heart | 橙光游戏：丧心病狂的微博战争,4,仅节目单（候选）,,The Tell-Tale Heart、橙光《丧心病狂的微博战争》，无独立证据,,
2015-04-20,周一,小游戏大合集： | mashing through the motions | kill the Plumber | nekra psaria 3 | Doris and the Dragon：ep1 | rhythm doctor | firepoint,1,独立证实同日开播,,贴吧 04-20 22:22「在66直播间喊了一下午」问游戏名，次日答「fire point」；节目单同日列着火点 Firepoint 等小游戏,新建 2015-04-20-live-01,2015-04-20-live-01
2015-04-22,周三,GTA | 传颂之物,4,仅节目单（候选）,,GTA、传颂之物，无独立证据,,
2015-04-23,周四,传送门1 | 传颂之物,1,独立证实同日开播,,直播间快照标题「传送门1」、缩略图 04-23 19:12；节目单传送门1、传颂之物,新建 2015-04-23-live-01,2015-04-23-live-01
2015-04-24,周五,传送门1 | 重生之千金归来,5,与更强的一手证据矛盾,2015-04-24-live-01,日期吻合（快照）；节目单写传送门1，直播间标题是「传送门2女流被喷记」，以标题为准,,2015-04-24-live-01
2015-04-27,周一,FEZ | 使命召唤 | 重生之千金归来,3,疑似相邻日错位,,FEZ 等。档案 04-28 有 FEZ 快照、04-29 有 FEZ 录像，节目单没有 04-28 行 → 可能是 04-28 那场记早了一天,,
2015-04-29,周三,FEZ,0,已在档,2015-04-29-live-01,FEZ 吻合,,2015-04-29-live-01
2015-05-12,周二,雷曼传奇 | H1Z1,4,仅节目单（候选）,,雷曼传奇、H1Z1。A站 ac1894602《雷曼传奇》整场录像只能定在 05-10～05-13；开场「想死你啊……真的不想我吗」像是 5 月停播后回来的第一场，节目单 5 月也是从 05-12 才有记录，两者相合，但区间仍在节目单误差之内，不据此定日,,
2015-05-18,周一,传送门2 Portal2 | 逆袭之星途闪耀,4,仅节目单（候选）,,传送门2、逆袭，无独立证据（空洞内）,,
2015-05-19,周二,传送门2 Portal2,4,仅节目单（候选）,,传送门2，无独立证据（空洞内）,,
2015-05-20,周三,传送门2 Portal2 | 着火点firepoint,4,仅节目单（候选）,,传送门2、着火点，无独立证据（空洞内）,,
2015-05-21,周四,着火点firepoint | 如龙 | insidemyradio,1,独立证实同日开播,,贴吧 05-22 10:58「昨天在斗鱼看到66」证实开播；内容只有节目单（着火点、如龙、Inside My Radio）,新建 2015-05-21-live-01,2015-05-21-live-01
2015-05-22,周五,HEX | agar.io,4,仅节目单（候选）,,HEX、agar.io。她本人优酷 05-23 10:24 投了《这是一个全球撕的游戏》，可能是 agar.io 类游戏，内容未核对，不作证据（空洞内）,,
2015-05-25,周一,勇敢的心,4,仅节目单（候选）,,勇敢的心，无独立证据（空洞内）,,
2015-05-26,周二,勇敢的心,4,仅节目单（候选）,,勇敢的心，无独立证据（空洞内）,,
2015-05-27,周三,ICO,4,仅节目单（候选）,,ICO，无独立证据（空洞内）,,
2015-05-28,周四,YY活动,6,非直播或活动,,YY活动：不是她斗鱼直播间的常规直播，也无独立证据（空洞内）,,
2015-05-29,周五,ICO,4,仅节目单（候选）,,ICO，无独立证据（空洞内）,,
2015-06-01,周一,喷射战士,4,仅节目单（候选）,,喷射战士（Splatoon 05-28 发售，时间上可能），无独立证据（空洞内）,,
2015-06-02,周二,高考恋爱一百天,4,仅节目单（候选）,,高考恋爱一百天，无独立证据（空洞内）,,
2015-06-03,周三,高考恋爱一百天,4,仅节目单（候选）,,高考恋爱一百天，无独立证据（空洞内）,,
2015-06-04,周四,三位一体,1,独立证实同日开播,,贴吧 06-05 09:58「昨天看66直播，大约七点」证实开播；内容只有节目单（三位一体）,新建 2015-06-04-live-01,2015-06-04-live-01
2015-06-05,周五,cube escape：seasons | mimou escape | samsara room | deep sleep | deeper sleep | the deepest sleep,4,仅节目单（候选）,,逃脱方块：四季 等一串解谜小游戏。官方 06-20 投的《逃脱方块：四季女流直播录像》经人工核对是预录实况，不能用作这一天的证据（空洞内）,,
2015-06-08,周一,潜伏之赤途,4,仅节目单（候选）,,赤途。吧友 2016 年说「6月也播了一次……6月几号忘了」，月份有旁证、日子只有节目单（空洞内）,,
2015-06-09,周二,逃离方块：哈维的盒子 | abondoned | icescape | 恋爱物语(one and one story) | 直到你醒来,4,仅节目单（候选）,,逃离方块：哈维的盒子等，无独立证据；哈维的盒子另有 06-29 画面时钟定日的录像（空洞内）,,
2015-06-10,周三,涂鸦上帝,4,仅节目单（候选）,,涂鸦上帝，无独立证据（空洞内）,,
2015-06-15,周一,女流的世界之X | 男扮女装进女舍 | 我是女流 | 求婚大作战,4,仅节目单（候选）,,四款橙光小游戏，无独立证据（空洞内）,,
2015-06-17,周三,无冬OL,4,仅节目单（候选）,,无冬OL，无独立证据（空洞内）,,
2015-06-18,周四,无冬OL | 橙光游戏：激萌的龙珠 | 橙光游戏：cup 升级大作战,4,仅节目单（候选）,,无冬OL 与两款橙光，无独立证据（空洞内）,,
2015-06-19,周五,无声者的救赎,4,仅节目单（候选）,,无声者的救赎，无独立证据（空洞内）,,
2015-06-24,周三,奇异人生,3,疑似相邻日错位,,奇异人生。画面时钟证实那场是 06-23，节目单没有 06-23 行 → 记晚了一天。另：08-11 读档面板里第三章存档日期 24/6/2015，06-24 可能又玩过第三章，是否直播无证据,,
2015-06-25,周四,蝙蝠侠,3,疑似相邻日错位,,蝙蝠侠。06-27 那场（画面时钟定日）说「昨天……切换成格登……就完结了，没再直播」，蝙蝠侠第一场是 06-26；节目单把 06-27 记成 06-26（下一行）、这一场记成 06-25，整体早一天,,
2015-06-26,周五,60s,3,疑似相邻日错位,,节目单记「60s」：06-27 那场开场她在看超级小桀玩《60秒！》，这一行对应的是 06-27（上传者也标 20150626）。06-26 本身按 06-27 的「昨天」新建蝙蝠侠开局场,新建 2015-06-26-live-01（medium，挂 A站 ac2007546）,2015-06-26-live-01
2015-06-29,周一,逃离方块：哈维的盒子 | 乐高 侏罗纪世界 | 初露脸！,0,已在档,2015-06-29-live-01,哈维的盒子吻合（画面时钟）；另列乐高侏罗纪世界、「初露脸！」。06-27 的录像已带摄像头，「初露脸」的说法与之不合，未补,,2015-06-29-live-01
2015-06-30,周二,游戏发展国 | 到家 gone home,0,已在档,2015-06-30-live-01,Gone Home 吻合；另列游戏发展国未补,,2015-06-30-live-01
2015-07-01,周三,直播查房、吃鸡排 | 围攻,4,仅节目单（候选）,,直播查房、吃鸡排、围攻，无独立证据,,
2015-07-02,周四,MC | 围攻,4,仅节目单（候选）,,MC、围攻，无独立证据,,
2015-07-03,周五,MC | 围攻,4,仅节目单（候选）,,MC、围攻，无独立证据,,
2015-07-04,周六,MC | 围攻,4,仅节目单（候选）,2015-07-04-live-01,档案 07-04 是斗鱼活动间的鱼塘星音乐（录像标题自带日期）；节目单写 MC、围攻，可能是她自己房间另一场。吧务 2017 年说一周目始于「15.07.4」，但他正是节目单的整理人，不算独立证据,条目不动；她自己房间的 MC 场只作候选,2015-07-04-live-01
2015-07-05,周日,知心66,0,已在档,2015-07-05-live-01,心灵砒霜（节目单记「知心66」）吻合,,2015-07-05-live-01
2015-07-06,周一,MC | 围攻,0,已在档,2015-07-06-live-01,MC、围攻吻合,,2015-07-06-live-01
2015-07-08,周三,围攻,4,仅节目单（候选）,,围攻，无独立证据,,
2015-07-09,周四,MC | 围攻,1,独立证实同日开播,,快照缩略图 07-09 19:29 证实开播（标题「肚子还有点儿疼」）；节目单 MC、围攻；07-06、07-10 都有一手 MC/围攻,新建 2015-07-09-live-01（medium）,2015-07-09-live-01
2015-07-10,周五,MC | 坎巴拉太空计划,0,已在档,2015-07-10-live-01,MC 吻合；另列坎巴拉太空计划未补,,2015-07-10-live-01
2015-07-11,周六,MC,4,仅节目单（候选）,,MC，无独立证据（周六）,,
2015-07-12,周日,66有约,0,已在档,2015-07-12-live-01,心灵砒霜（「66有约」）吻合,,2015-07-12-live-01
2015-07-13,周一,MC,0,已在档,2015-07-13-live-01,MC 吻合,,2015-07-13-live-01
2015-07-14,周二,MC,4,仅节目单（候选）,,MC，无独立证据,,
2015-07-15,周三,MC | 涂鸦冒险者,4,仅节目单（候选）,,MC、涂鸦冒险者，无独立证据,,
2015-07-16,周四,吃饭 答疑,0,已在档,2015-07-16-live-01,心灵砒霜（「吃饭 答疑」）吻合,,2015-07-16-live-01
2015-07-17,周五,MC,2,既有条目补内容,2015-07-17-live-01,日期由列表页快照证实，标题「我活着回来了」，内容原未知；节目单 MC，且 07-13 有一手 MC,节目单内容写进 note，games 不动（当天内容只有节目单）,2015-07-17-live-01
2015-07-18,周六,MC,4,仅节目单（候选）,,贴吧 16:45「睡过了。。晚上八点直播」只是预告，未证实开播；节目单 MC,,
2015-07-19,周日,66有约,0,已在档,2015-07-19-live-01,心灵砒霜吻合,,2015-07-19-live-01
2015-07-21,周二,MC,4,仅节目单（候选）,,MC，无独立证据,,
2015-07-22,周三,MC | 风之旅人,0,已在档,2015-07-22-live-01,风之旅人吻合；另列 MC 未补（录像是晚间风之旅人）,,2015-07-22-live-01
2015-07-23,周四,MC,4,仅节目单（候选）,,MC，无独立证据（当天官方视频是球球大作战手游试玩）,,
2015-07-24,周五,MC,4,仅节目单（候选）,,MC，无独立证据,,
2015-07-26,周日,66有约,0,已在档,2015-07-26-live-01,心灵砒霜吻合,,2015-07-26-live-01
2015-07-27,周一,MC,4,仅节目单（候选）,,MC，无独立证据,,
2015-07-28,周二,MC建筑大赛,0,已在档,2015-07-28-live-01,第一届建筑大赛吻合,,2015-07-28-live-01
2015-08-03,周一,MC躲猫猫,0,已在档,2015-08-03-live-01,MC 躲猫猫吻合,,2015-08-03-live-01
2015-08-04,周二,MC建筑大赛,4,仅节目单（候选）,2015-08-04-live-01,日期吻合（晚上的科隆游戏展发布会解说已在档）；节目单记「MC建筑大赛」，第二届建筑大赛的优酷录像只能定在 08-03～08-06，节目单给 08-04，只作候选,,2015-08-04-live-01
2015-08-05,周三,MC服务器参观-西凉国挖角,4,仅节目单（候选）,,MC 服务器参观，无独立证据；在第二届建筑大赛录像的有界区间内,,
2015-08-09,周日,66有约,0,已在档,2015-08-09-live-01,心灵砒霜吻合,,2015-08-09-live-01
2015-08-10,周一,MC暮色森林 | 逃离方块：锈色湖畔,4,仅节目单（候选）,,MC 暮色森林、锈色湖畔，无独立证据,,
2015-08-11,周二,奇异人生,0,已在档,2015-08-11-live-01,奇异人生吻合（读档面板）,,2015-08-11-live-01
2015-08-12,周三,poly bridge,2,既有条目补内容,2015-08-12-live-01,Poly Bridge 吻合。本条原按片尾自述反推、medium；节目单独立给出同一天，且 08-14 行正是片尾预告的「后天播 CS Online 和 MC」,confidence medium→high,2015-08-12-live-01
2015-08-14,周五,CSOL | MC暮色森林,1,独立证实同日开播,,08-12 录像片尾预告「明天请假，后天播 CS Online 和 MC」，节目单 08-14 正是 CSOL、MC 暮色森林，08-13 也确无记录,新建 2015-08-14-live-01（medium）,2015-08-14-live-01
2015-08-16,周日,心灵砒霜,0,已在档,2015-08-16-live-01,心灵砒霜吻合,,2015-08-16-live-01
2015-08-17,周一,i wanna be the felios,1,独立证实同日开播,,快照缩略图 08-17 18:35 证实开播，标题「我想的美」（谐音 I wanna）；贴吧 17:38「66心中无数只草泥马奔腾而过」；节目单 i wanna be the felios,新建 2015-08-17-live-01,2015-08-17-live-01
2015-08-18,周二,MC,4,仅节目单（候选）,,MC，无独立证据（当天官方视频是 Her Story 第二部分）,,
2015-08-19,周三,MC | 无尽梦魇,2,既有条目补内容,2015-08-19-live-01,无尽梦魇吻合；节目单另列 MC，次日 08-20 下午是第三届建筑大赛,节目单内容写进 note，games 不动,2015-08-19-live-01
2015-08-20,周四,MC建筑大赛 | 风之旅人,0,已在档,2015-08-20-live-01 2015-08-20-live-02,第三届建筑大赛、风之旅人吻合,,2015-08-20-live-01 2015-08-20-live-02
2015-08-21,周五,poly bridge,0,已在档,2015-08-21-live-01,Poly Bridge 吻合,,2015-08-21-live-01
2015-08-27,周四,poly bridge | 御天降魔传,5,与更强的一手证据矛盾,2015-08-27-live-01,日期吻合（快照）；节目单写 Poly Bridge、御天降魔传，直播间标题是「PT寂静岭」，以标题为准,,2015-08-27-live-01
2015-08-28,周五,MC | 寂静岭PT,3,疑似相邻日错位,,MC、寂静岭PT。PT 那场按快照是 08-27，这一行可能记晚了一天；吧友 08-30 求「中元节那天」（08-28）的寂静岭录像，与此同样差一天，未证实 08-28 另有一场,,
2015-08-31,周一,坎巴拉计划 | franbow,5,与更强的一手证据矛盾,2015-08-31-live-01,档案 08-31 是贴吧证实的 MC 场；节目单写坎巴拉计划、Fran Bow。Fran Bow 按快照和贴吧是 09-02，坎巴拉按贴吧是 09-01 前后 → 这一行内容错位，未补,,2015-08-31-live-01
2015-09-01,周二,MC | 坎巴拉太空计划,4,仅节目单（候选）,,MC、坎巴拉太空计划。贴吧 09-01 16:10、17:34 两帖都在聊她玩的坎巴拉，说明前后几天玩过，但不能证明 09-01 当天开播,,
2015-09-02,周三,franbow,0,已在档,2015-09-02-live-01,Fran Bow 吻合,,2015-09-02-live-01
2015-09-03,周四,MC | kill the plumber2 | Gas Pumping Simulator | 我为什么死了：重生,1,独立证实同日开播,,贴吧 09-03「求今天直播5点40多的歌」、22:29「66直播我的世界用的哪些mod呀」证实开播并玩 MC；节目单 MC 与三款小游戏,新建 2015-09-03-live-01（medium）,2015-09-03-live-01
2015-09-04,周五,MC建筑大赛,0,已在档,2015-09-04-live-01,第四届建筑大赛吻合,,2015-09-04-live-01
2015-09-09,周三,"心灵砒霜 | 逃离方块：锈色湖畔 | 本座倒要看看你能活几天 | 我的老师是只""熊""",0,已在档,2015-09-09-live-01 2015-09-09-live-02,心灵砒霜、锈湖、我的老师是只熊吻合,,2015-09-09-live-01 2015-09-09-live-02
2015-09-10,周四,心灵砒霜 | 中世纪工程师,0,已在档,2015-09-10-live-01,心灵砒霜、中世纪工程师吻合,,2015-09-10-live-01
2015-09-11,周五,折纸世界 tear away,2,既有条目补内容,2015-09-11-live-01,日期由列表页快照证实，标题「新作到手：折纸世界」；节目单「折纸世界 tear away」,补 tearaway-unfolded（新登记）,2015-09-11-live-01
2015-09-12,周六,MC,4,仅节目单（候选）,,MC。周六（09-09 她说周六不直播）；贴吧 23:24 问「深夜心灵砒霜」有没有人录，何日不明,,
2015-09-13,周日,心灵砒霜,0,已在档,2015-09-13-live-01,心灵砒霜吻合,,2015-09-13-live-01
2015-09-14,周一,打包行李,1,独立证实同日开播,,吧友 09-15 11:36「前天下午，昨天晚上，都有直播」证实 09-14 晚开播；节目单「打包行李」（09-15 起去日本 TGS）,新建 2015-09-14-live-01,2015-09-14-live-01
2015-09-15,周二,日本TGS户外直播,4,仅节目单（候选）,,日本 TGS 户外直播，无独立证据（09-16 户外直播已在档）,,
2015-09-16,周三,户外直播,0,已在档,2015-09-16-live-01,户外直播吻合,,2015-09-16-live-01
2015-09-17,周四,TGS发布会,6,非直播或活动,,TGS 发布会：展会活动，是否在她直播间直播无证据,,
2015-09-20,周日,聊天,4,仅节目单（候选）,,聊天，无独立证据,,
2015-09-21,周一,公园,1,独立证实同日开播,,快照缩略图 09-21 13:47 证实开播；节目单「公园」（TGS 后仍在日本，户外）,新建 2015-09-21-live-01（medium）,2015-09-21-live-01
2015-09-27,周日,MC | 心灵砒霜,0,已在档,2015-09-27-live-01,心灵砒霜吻合；另列 MC 未补,,2015-09-27-live-01
2015-09-28,周一,折纸小邮差,1,独立证实同日开播,,贴吧 09-28 16:11「现在不是在么」证实在播；节目单「折纸小邮差」,新建 2015-09-28-live-01,2015-09-28-live-01
2015-09-29,周二,MC | 漫漫旅途,0,已在档,2015-09-29-live-01,日期吻合（快照）；节目单 MC、漫漫旅途，无一手旁证，未补,,2015-09-29-live-01
2015-09-30,周三,paper please,0,已在档,2015-09-30-live-01,请出示文件吻合（task-049）,,2015-09-30-live-01
2015-10-01,周四,国庆特辑,0,已在档,2015-10-01-live-01,国庆早场吻合（task-049）,,2015-10-01-live-01
2015-10-03,周六,66生日~,1,独立证实同日开播,,快照缩略图 10-03 16:51 证实开播，标题「18888888888888888888」；贴吧 16:00「直播时貌似暴露了自己名字」；节目单「66生日~」,新建 2015-10-03-live-01,2015-10-03-live-01
2015-10-08,周四,游戏发展国 | 外科手术模拟2013 | 我是面包 面包模拟器  paper please,0,已在档,2015-10-08-live-01,请出示文件吻合（task-049，medium）；另列游戏发展国、外科手术模拟、我是面包未补,,2015-10-08-live-01
2015-10-09,周五,MC建筑大赛,1,独立证实同日开播,,官方优酷《第五届女流杯建筑大赛》片尾「周末愉快……周日心灵砒霜见」→ 周五；节目单 10-09（周五）MC建筑大赛。节目单与一手日期的偏差从未超过 3 天，离 10-09 最近的其他周五相隔 7 天，只能是 10-09,新建 2015-10-09-live-01（medium），挂官方优酷,2015-10-09-live-01
2015-10-11,周日,心灵砒霜,0,已在档,2015-10-11-live-01,心灵砒霜吻合,,2015-10-11-live-01
2015-10-12,周一,你之恋与真实之恋,0,已在档,2015-10-12-live-01,你之恋与真实之恋吻合,,2015-10-12-live-01
2015-10-13,周二,小丑多普西 | 军师很忙 | keep talking and nobody explodes（没人会被炸掉） | mount your friends（基友大合体） | 监狱建筑师,0,已在档,2015-10-13-live-01,日期吻合（快照标题「军师很忙yo yo yo」）；节目单另列小丑多普西、Keep Talking、Mount Your Friends、监狱建筑师，未补,,2015-10-13-live-01
2015-10-14,周三,小丑多普西 | MC剧情模式,4,仅节目单（候选）,,小丑多普西、MC 剧情模式，无独立证据,,
2015-10-15,周四,小丑多普西,0,已在档,2015-10-15-live-01,Dropsy 吻合,,2015-10-15-live-01
2015-10-16,周五,小丑多普西 | MC,2,既有条目补内容,2015-10-16-live-01,日期由列表页快照证实，标题「刚录视频迟到了」；节目单小丑多普西、MC，前一天 10-15 一手是 Dropsy,节目单内容写进 note，games 不动（当天内容只有节目单）,2015-10-16-live-01
2015-10-18,周日,心灵砒霜 | paper please,0,已在档,2015-10-18-live-01,心灵砒霜吻合；另列请出示文件未补,,2015-10-18-live-01
2015-10-19,周一,beyond eyes | A bird story | shower with dad | paper please,1,独立证实同日开播,,快照缩略图 10-19 19:00 证实开播，标题「以后直播间名就叫66」；节目单列 beyond eyes、A bird story、shower with dad、paper please,新建 2015-10-19-live-01（games 留空）,2015-10-19-live-01
2015-10-20,周二,paper please | 贴条,3,疑似相邻日错位,2015-10-20-live-01,节目单 10-20 只记「paper please、贴条」，《A bird story》在 10-19 行；录像小屋把那份录像标 2015.10.20。几处同出于录像文件而差一天，全片转写无自报日期，未决,2015-10-20-live-01 confidence high→medium,2015-10-20-live-01
2015-10-21,周三,监狱建筑师,0,已在档,2015-10-21-live-01,监狱建筑师吻合,,2015-10-21-live-01
2015-10-22,周四,MC故事会,0,已在档,2015-10-22-live-01,MC 吻合,,2015-10-22-live-01
2015-10-23,周五,传说之下undertale,0,已在档,2015-10-23-live-01,Undertale 吻合,,2015-10-23-live-01
