vid,upload_cst,duration,title,status,archive_entry,note
XNTA5MDU1NTk4MA==,2021-01-29 18:36,06:40,【女流】2020年独立游戏精选，带大家重温当时的投入和快乐,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTA4OTAyNjExMg==,2021-01-28 17:10,07:02,【女流】星露谷物语全收集达成，一分耕耘一份收获,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTA4NDY5NjMzNg==,2021-01-26 18:00,05:36,【女流】星露谷物语：维多利亚的秘密后台,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTA3OTkxNDM0OA==,2021-01-23 16:04,21:16,【女流】转眼已六年，满满的回忆和爱,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTA3NjE3MTExNg==,2021-01-21 18:29,05:57,【女流】星露谷物语：存档拯救计划,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTA3NDAzODczMg==,2021-01-20 17:39,05:39,【女流】星露谷物语：这游戏叫做东北人在海南,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTA2NjM5NDYwOA==,2021-01-16 17:50,22:58,【女流】心灵砒霜：你在内蒙的冬天吃过冰棍吗,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTA2MTY5MTYwNA==,2021-01-14 17:27,07:24,【女流】星露谷物语：门口放炸弹？！大甜瓜，危！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTA1NzYxMDAxMg==,2021-01-12 17:15,11:46,【女流】星露谷不够肝，希望作者未来做个白天上班晚上种地的游戏,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTA1MDYyNDI0MA==,2021-01-08 18:54,08:17,【女流】星露谷物语：来了来了，他带着KPI走来了,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTA0ODY1NjkxNg==,2021-01-07 18:38,10:07,【女流】星露谷物语：不吃饭不睡觉，打起精神赚钞票,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTA0NjY4NjYxMg==,2021-01-06 17:29,08:13,【女流】星露谷物语：人生能有几回搏，此时不搏何时搏！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTA0NDgxNTUwMA==,2021-01-05 17:36,11:02,【女流】心灵砒霜：「THE WORLD」砸瓦鲁多！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTAzNjY0Nzg5Mg==,2021-01-01 15:05,08:11,【女流】松鼠大作战是如何演变成姐弟大作战的,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTAzNjQxNTUwMA==,2020-12-31 17:14,14:37,【女流】心灵砒霜：想起曾经被别人家的孩子支配的恐惧,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTAzMjkzMTkyMA==,2020-12-29 19:03,12:51,【女流】没有驾照玩不了努努？玩炸弹人照样carry！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTAyNDE3MDI3Mg==,2020-12-24 18:08,04:37,【女流】是无名小卒，还是名扬天下？赛博朋克2077完结篇,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTAyMDY3MDMxMg==,2020-12-22 20:11,22:03,【女流】心灵砒霜：如果表白就不用还钱的话，那人人都不用还花呗了,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTAxODMyOTY2MA==,2020-12-21 12:40,04:56,【女流】我要是配音，我肯定要配这游戏里最没人性的女人,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTAxNDMyMzUyNA==,2020-12-18 18:26,21:34,【女流】心灵砒霜：托福听力满分教你四级听力小技巧,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTAxMDkxOTIyMA==,2020-12-16 19:37,09:00,【女流】赛博朋克2077：我，一代车神，赛车冠军！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTAwODk4MjY1Ng==,2020-12-15 19:32,06:43,太空狼人杀，谁是内鬼？不用想，是壮壮！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTAwNDg3MDM0NA==,2020-12-12 18:06,05:59,恶魔之魂白金达成！完结撒花！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTAwMTk1MjE5Mg==,2020-12-10 19:01,09:34,赛博朋克2077：都2077年了，车还不能自己开自己吗？,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNTAwMDQ0NTg5Mg==,2020-12-09 18:23,23:09,【女流】心灵砒霜：毛利兰还跑来投稿？叉出去！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDk5ODUyMTg4NA==,2020-12-08 12:48,06:42,【女流】想让我老老实实地刷200次？做梦！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDk5NzA5NjcyMA==,2020-12-07 11:26,09:30,没想到有生之年还能跟古王玩玩躲猫猫的游戏！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDk5NTA4MzIwMA==,2020-12-05 16:23,07:02,没什么事情是一束火焰风暴解决不了的，如果有，就两束,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDk5MzUyNjc2NA==,2020-12-04 19:00,18:45,【女流】心灵砒霜：辅导壮壮学习那些事儿,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDk4OTE5OTY1Ng==,2020-12-02 12:00,06:18,【女流】蒙眼过关！恶魔之魂最恶心BOSS，慎入！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDk4NzM1OTI3Mg==,2020-11-30 20:05,06:25,这个游戏是摔不死吗？恶魔之魂重制版,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDk4Mjc0MjA2NA==,2020-11-28 12:00,05:08,恶魔之魂的刮痧之路，转角遇到爱,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDk4MTQ2MTg0OA==,2020-11-26 18:57,20:59,【女流】心灵砒霜：只要自己不尴尬，就get不到其他人的尴尬,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDk3ODQ3MzY0NA==,2020-11-24 20:03,07:25,恶魔之魂重制版，这个游戏是没有死亡吗？,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDk3MzY3NTkwMA==,2020-11-21 12:59,08:37,谁能想到，游戏里还要再考一遍科目二,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDk3MTQxOTY3Mg==,2020-11-19 20:58,05:34,PS5开箱实况！指甲拧螺丝的技巧还是师从于索尼员工,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDk2OTEwNDAxMg==,2020-11-18 14:11,13:48,心灵砒霜与公益行动，你的心中还有一座未来教室吗？,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDk2NzQ4MTEzMg==,2020-11-17 14:05,04:41,女流：聊聊天，种种田，我被游戏设计师夸奖的那些年,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDkxMTc3MzcxMg==,2020-10-18 17:54,03:38,女流：此弟不宜久留,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDkwMDEzNjY0NA==,2020-10-11 18:02,01:57,【女流】有比微信红包更贴心的礼物吗？,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDg4OTY2NDk3Ng==,2020-10-04 19:22,04:32,女流：生日送一首《鱼米》给大家,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDg4NjIwOTU5Mg==,2020-10-01 17:42,04:35,女流：太难了，做一个体操选手太难了,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDYxNDAxODAyMA==,2020-04-01 10:00,04:20,女流：有的时候，钓鱼，就是命运的安排,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDYxMTA1MDIzNg==,2020-03-30 10:00,08:53,女流：仁王2两个受尽苦头的boss战，夜刀神加野猪终于通关了,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDYwNTI1OTgyNA==,2020-03-26 10:00,03:14,女流：职业法师必备道具：金嗓子喉宝,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDU2OTUyMTc5Ng==,2020-03-02 15:00,05:27,女流2019年独立游戏精选，大家在家无聊可以杀时间！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDQ5NjY5ODAyOA==,2020-01-06 18:55,06:37,女流：当爸爸学会网购是什么体验？我可太难了！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDQ5MTk5ODAwNA==,2020-01-02 17:56,04:34,女流：姐弟回忆儿时玩耍情景，解开了多年的心结！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDQ4MTIxNjM0NA==,2019-12-24 17:52,05:13,女流：是什么让姐弟形同陌路，多年之后的回忆让人哗然,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDQ3NjcxNjk0OA==,2019-12-20 18:45,10:17,女流：情深深雨蒙蒙之《雪姨结局》，系列完结,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDQ3NTUyODgzMg==,2019-12-19 20:02,11:16,女流：《雪姨的前世今生》，这是不是你了解的王雪琴？,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDQzNjEwNDExNg==,2019-11-14 16:44,03:56,女流：这游戏天花板这么高？当你的人生巅峰遇到了别人的人生巅峰,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDQzMTc5NDI4MA==,2019-11-10 20:20,03:14,女流：跨栏这个项目，我可太稳了，壮壮难顶了！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDQxMzAzMjM3Ng==,2019-10-25 18:51,05:12,这就是被抢断货的《健身环大冒险》，我真是捡到宝了,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDQwMTkyODA3Ng==,2019-10-17 16:54,13:48,女流实力吐槽上海堡垒，观众觉得说的比电影还精彩,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDM4MDg2OTM3Ng==,2019-09-29 19:51,03:13,心灵砒霜：女流居然也被购物洗脑？渣哥竟是收快递工具人,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDMyMjc0MDkwOA==,2019-08-20 17:41,06:07,女流：魔鬼弟弟给亲姐安利游戏，途中就遭到难以抵挡的诱惑,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDMyMTQxOTg2OA==,2019-08-19 20:45,03:00,女流VLOG01：女流打篮球的姿势像极了。。。运球操作把麦迪秀傻了,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDI5NTI2Mjk1Ng==,2019-07-31 20:41,26:57,《女流会客室》游戏的叙事性,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDIwMjY0NzA2OA==,2019-05-30 14:52,03:45,女流与弟弟在船上居然互相吐了对方一脸？壮壮：你把蛆塞我嘴里能不吐吗！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDIwMDM1ODU3Mg==,2019-05-28 21:32,06:08,欧皇女流也改变不了的非酋命运？原因竟是因为壮壮不够从一而终！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDE5NTEyNzkyMA==,2019-05-24 20:58,03:55,学霸的聊天记录曝光！神秘代码直指某个网站，原来别人家的孩子也遭父母嫌弃,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDE4OTU0NDgzNg==,2019-05-20 20:57,03:52,聪明反被聪明误？女流和弟弟竟然看皮卡丘跳了十五分钟的PPAP？,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDE4NTYzODQwNA==,2019-05-17 21:00,03:52,【女流】女流偶遇九华山世外高人？却因囊中羞涩错过大富大贵的机会！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDE4MDA5MDgwNA==,2019-05-13 16:48,02:48,女流：亲姐弟的默契度高达惊人的16%？女流一失足成壮壮三秒恨,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDE3NjY0Mjc0MA==,2019-05-10 21:34,03:48,节食减肥失败的原因竟是因为委屈？女学霸带你走进科学！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDE3MzE1ODM2MA==,2019-05-08 15:39,02:33,清华学霸的单身原因，原来是因为隐身于家人眼中的弟弟,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDE0MjI2OTA2MA==,2019-04-18 14:26,02:44,心灵砒霜：是什么情况居然让女流道出心酸历史，服务行业内幕究竟有多坑？,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDEyMTEzNDI0MA==,2019-04-01 14:09,05:01,猫里奥有这么难？被坑到怀疑人生！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDExNjQzNzcyNA==,2019-03-29 14:03,07:03,只狼boss击杀 - 无首狮子猿,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDExNjQ0NTA1Ng==,2019-03-29 13:59,04:01,只狼boss击杀 - 苇名弦一郎,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDExNjQzNDkzNg==,2019-03-29 13:54,07:17,只狼boss击杀 - 狮子猿,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDExNjQzMTAwMA==,2019-03-29 13:54,06:50,只狼boss击杀 - 幻影之蝶,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDExNjQxODQxMg==,2019-03-29 13:49,03:36,只狼boss击杀 - 鬼刑部,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDEwNjk5MjE5Mg==,2019-03-22 18:05,02:47,女流：多人本地竞速，骑摩托真的可以增进感情,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDEwNDM3NjA0OA==,2019-03-20 18:22,03:19,女流：北京饺子一百种死法，女流都驾驭不住的赛车游戏？,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDA5NDg1NTY1Ng==,2019-03-12 19:14,04:55,女流VLOG：东京《只狼》+《鬼泣》制作人采访之旅,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XNDA4ODcyMzAwMA==,2019-03-07 14:42,05:45,【女流】心灵砒霜：粉丝大胆表白女流？却回忆起大学往事！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzY2Mzg3OTIwMA==,2018-06-14 14:20,10:29,女流带你体验《刀锋之怒》 媲美端游的爽快感,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzY2MzY2MjA0OA==,2018-06-14 10:47,03:31,女流带你看E3 玩家盛典空降天使之城,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzY2MDc4MDM1Ng==,2018-06-12 21:27,02:28,E3 2018索尼发布会 创意十足干货满满,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzU4NDEwMjEyMA==,2018-05-04 20:48,01:41,【女流】任天堂Labo玩具钢琴试弹，配合电钢和弦，弹一首我很喜欢的歌,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzU2MDAxODAxNg==,2018-04-23 23:14,06:01,【女流】爱笑的女生，运气不会太差,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzU0MDQ3MDEzNg==,2018-04-15 21:15,05:26,【女流】姐弟情深，配合默契；对弟弟下重手？不存在的,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzUzNzg5ODIyOA==,2018-04-14 14:02,03:37,【女流】空手接白刃，看我行不行,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzUyNjEzNjAyNA==,2018-04-09 20:03,05:31,【女流】 妈妈不让我打游戏怎么办？结尾升华了,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzUwNDA3OTAwNA==,2018-03-31 13:50,09:50,【女流】姐弟配合拆弹可太刺激了，给我这个专家打个分吧,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzQ5OTg1Mjk3Mg==,2018-03-29 16:47,03:36,【女流】变态游戏，毁我青春，C面我不会玩的，告辞,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzQ5Mjc1OTk2NA==,2018-03-26 21:30,06:48,【女流】从姐弟情深，到大义灭亲，只需要一个疯兔子游戏,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzQ4NjM5MzY2MA==,2018-03-23 22:11,02:32,【女流】旺达与巨像（仿电影预告）,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzQ4MDA5NzM4OA==,2018-03-21 13:06,05:11,【女流】《Celeste》看起来行云流水，鬼知道我死了多少次,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzQ3OTk4NDk4OA==,2018-03-21 11:38,04:51,【女流】《Sky光·遇》国服来啦，你想和我拉手手吗？,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzQwMDY4MDU3Ng==,2018-02-13 16:04,05:08,【女流】《心灵砒霜》23期，忘不掉初中女友怎么办,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzQwMDYyMTQwMA==,2018-02-13 15:32,08:20,【女流】《Hobo: Tough Life》这游戏有毒，第二天壮壮就去见大夫了,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzQwMDYxNDI3Ng==,2018-02-13 15:28,06:48,【女流】《人类一败涂地》这个游戏教会我怎么做一个独立自强的女人,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzMyMjk4OTkzNg==,2018-01-16 13:42,05:15,【女流】2017女流直播回顾——30款独立游戏精选,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzIxNTcyODA0MA==,2017-12-08 21:37,10:41,【吃鸡佳缘】第一期：我，女流，大腿,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzE5MzYyMzU2NA==,2017-11-29 21:16,09:20,让人落命都会上瘾的游戏——仁王！,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMTg4MzQ0NjU2MA==,2017-10-31 17:14,195:27,女流【心灵砒霜】大家圣诞快乐呀！,可补来源·既有条目,2016-12-25-live-02,圣诞砒霜，本片 195:27 与档案 196 分一致；优酷迟至 2017-10-31 才上传
XMzA0MjE3ODYzNg==,2017-09-23 23:12,04:57,【女流】心灵砒霜（直播集锦-9.17）,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
XMzAyOTMzMzA1Ng==,2017-09-17 22:58,04:33,【女流】心灵砒霜（直播集锦-9.10）,精剪短片·非完整录像,,30 分钟以下剪辑；母场本轮未逐条对应
