date,title,vid,alive,upload_datetime,duration,url
2010-07-09,是时候发泄怨念了,XMTg4MzczNDAw,N,,,https://v.youku.com/v_show/id_XMTg4MzczNDAw.html
2010-07-11,GBA晚期神作之一【节奏天国A版】试玩解说,XMTg4ODQxMzcy,Y,2010-07-11 15:34:04,PT15M55.52999999999997S,https://v.youku.com/v_show/id_XMTg4ODQxMzcy.html
2010-07-15,【女流】心灵故事【灵魂魔术师】（又名独自为伴） 解说,XMTg5OTYwNTE2,Y,2010-07-15 19:12:33,PT17M15.940000000000055S,https://v.youku.com/v_show/id_XMTg5OTYwNTE2.html
2010-07-22,【经典回顾】小婴儿逃脱系列2解说,XMTkxNjU0NDMy,N,,,https://v.youku.com/v_show/id_XMTkxNjU0NDMy.html
2010-07-24,女流小游戏视频录制教学,XMTkyMTkyNDE2,N,,,https://v.youku.com/v_show/id_XMTkyMTkyNDE2.html
2010-07-29,【女流】真伪笑容大判断,XMTkzNTk2OTM2,N,,,https://v.youku.com/v_show/id_XMTkzNTk2OTM2.html
2010-08-03,【女流】魔术师之梦（The Illusionist's Dream）解说,XMTk0ODI1MDEy,N,,,https://v.youku.com/v_show/id_XMTk0ODI1MDEy.html
2010-09-09,萝卜白菜，各有所爱,XMjA0OTMwOTk2,N,,,https://v.youku.com/v_show/id_XMjA0OTMwOTk2.html
2010-09-19,【女流】爱丽丝之死全系列解说,XMjA3NjU0NDE2,N,,,https://v.youku.com/v_show/id_XMjA3NjU0NDE2.html
2010-10-05,【女流】不择手段【唤醒盒子2】试玩,XMjExOTQ1NDY4,N,,,https://v.youku.com/v_show/id_XMjExOTQ1NDY4.html
2010-12-02,【特别剪辑】纪念那些没能跟大家见面的小游戏录像,XMjI2NzA4Njc2,N,,,https://v.youku.com/v_show/id_XMjI2NzA4Njc2.html
2012-05-20,【女流】我来小填个坑儿【安琪拉之歌】全剧情流程3（Boss4）,XMzk5NjE3NjI0,N,,,https://v.youku.com/v_show/id_XMzk5NjE3NjI0.html
2012-05-24,【hyun310＆女流】安琪拉之歌全剧情流程解说4（3宝物）,XNDAxNzU1MzE2,N,,,https://v.youku.com/v_show/id_XNDAxNzU1MzE2.html
2012-05-31,【女流】儿童节送小羊回家,XNDA1NzE4OTA0,N,,,https://v.youku.com/v_show/id_XNDA1NzE4OTA0.html
2012-08-26,【女流】唤醒盒子4试玩解说,XNDQzNTY0MDky,N,,,https://v.youku.com/v_show/id_XNDQzNTY0MDky.html
2013-08-29,【女流】拆！系列拆键盘攻略解说,XNjAyNTgwODU2,Y,2013-08-29 19:48:20,PT10M37.89999999999998S,https://v.youku.com/v_show/id_XNjAyNTgwODU2.html
2013-09-04,【女流】进击的巨人同人游戏【巨人の猎手】试玩解说,XNjA1MDcxMTQ0,N,,,https://v.youku.com/v_show/id_XNjA1MDcxMTQ0.html
2013-09-13,【女流】Journey 风之旅人全流程赏析Part 1,XNjA4NDc0Mzg0,N,,,https://v.youku.com/v_show/id_XNjA4NDc0Mzg0.html
2013-09-25,【女流】Journey 风之旅人全流程赏析Part 2,XNjEzMjI2ODI0,N,,,https://v.youku.com/v_show/id_XNjEzMjI2ODI0.html
2013-09-30,【女流】Journey 风之旅人全流程赏析Part 3大结局,XNjE1Mzg2OTMy,N,,,https://v.youku.com/v_show/id_XNjE1Mzg2OTMy.html
2013-10-18,【女流】自从玩了小游戏，妈妈再也不用担心我的厨艺（误）！,XNjIzMTYxMTY0,N,,,https://v.youku.com/v_show/id_XNjIzMTYxMTY0.html
2013-10-20,【女流】小游戏实况：小红球闯关RedBall4,XNjIzNzgwNzUy,N,,,https://v.youku.com/v_show/id_XNjIzNzgwNzUy.html
2013-11-02,【女流】Enough Plumbers 2很多马里奥试玩解说,XNjI5Mjk1NDgw,N,,,https://v.youku.com/v_show/id_XNjI5Mjk1NDgw.html
2013-11-09,【女流】不可信的肉眼：Naya's Quest试玩解说,XNjMyMzc3Nzg0,N,,,https://v.youku.com/v_show/id_XNjMyMzc3Nzg0.html
2013-11-18,【女流】被这款游戏彻底打败了,XNjM2NDM4NDY0,N,,,https://v.youku.com/v_show/id_XNjM2NDM4NDY0.html
2013-11-22,【女流】又送小羊回家Home Sheep Home 2,XNjM4Mjc3ODg4,N,,,https://v.youku.com/v_show/id_XNjM4Mjc3ODg4.html
2013-11-30,【女流】遇上话痨就要开外挂【危险的蝎子】The Scorpion Box解说,XNjQxNzMxNzMy,N,,,https://v.youku.com/v_show/id_XNjQxNzMxNzMy.html
2013-12-09,【女流】下海做贼难自弃-the very organized thief解说,XNjQ1OTY2MTI0,N,,,https://v.youku.com/v_show/id_XNjQ1OTY2MTI0.html
2013-12-13,【女流】关于救赎Persist【坚持】解说,XNjQ3NjI5MjYw,N,,,https://v.youku.com/v_show/id_XNjQ3NjI5MjYw.html
2013-12-19,【女流】圣诞夜跑酷SANTA RUN 2试玩解说,XNjUwNDcyMTQw,N,,,https://v.youku.com/v_show/id_XNjUwNDcyMTQw.html
2014-01-06,【女流】玩了这个整个人都不好了The Impossible Quiz 2,XNjU4MzM5MTM2,N,,,https://v.youku.com/v_show/id_XNjU4MzM5MTM2.html
2014-01-23,【女流】世界名画知多少？Famous Painting Parodies 2 解说,XNjY1MTkwOTAw,N,,,https://v.youku.com/v_show/id_XNjY1MTkwOTAw.html
2014-02-25,【女流】被玩坏了的FLAPPY BIRD,XNjc3Njk1NTE2,N,,,https://v.youku.com/v_show/id_XNjc3Njk1NTE2.html
2014-07-27,【女流】CSonline机甲斗兽模式试玩解说,XNzQ3MDE3OTcy,N,,,https://v.youku.com/v_show/id_XNzQ3MDE3OTcy.html
2014-09-10,【女流】安琪拉之歌全剧情流程Part5,XNzc4NTY1ODM2,N,,,https://v.youku.com/v_show/id_XNzc4NTY1ODM2.html
2014-09-12,【女流】升职加薪也是分分钟的事儿[Corporate Climber]解说,XNzgwNDUzMDYw,N,,,https://v.youku.com/v_show/id_XNzgwNDUzMDYw.html
2014-09-19,[游戏新作]奇幻大陆的勇士Phoenitopia试玩Part1,XNzg1ODQ4ODIw,N,,,https://v.youku.com/v_show/id_XNzg1ODQ4ODIw.html
2014-10-09,【女流】不玩也爱看：挑战RAP植物大战僵尸,XODAwMDQwMTg4,N,,,https://v.youku.com/v_show/id_XODAwMDQwMTg4.html
2014-10-17,【不玩也爱看】女流：愤怒的小鸟背后感人至深的秘密,XODA1MTQyMDE2,Y,2014-10-17 10:29:52,PT15M0.9800000000000182S,https://v.youku.com/v_show/id_XODA1MTQyMDE2.html
2014-10-24,[女流]我的世界漂流记-不玩也爱看,XODEwMzQyNDYw,N,,,https://v.youku.com/v_show/id_XODEwMzQyNDYw.html
2014-11-02,【不玩也爱看】女流给这个游戏跪了,XODE2OTgzMTI4,Y,2014-11-02 11:54:16,PT19M57.17000000000007S,https://v.youku.com/v_show/id_XODE2OTgzMTI4.html
2014-11-08,[不玩也爱看]还原魂斗罗剧情 年代记实况part1,XODIyNTU3MzU2,N,,,https://v.youku.com/v_show/id_XODIyNTU3MzU2.html
2014-11-14,【女流】不玩也爱看第10期：忍者神龟大挑战 年代记Part 2,XODI2Njg3MzIw,N,,,https://v.youku.com/v_show/id_XODI2Njg3MzIw.html
2014-11-21,【优质电玩】*光之子*全剧情流程解说Part1,XODMxODY5ODEy,Y,2014-11-21 23:50:02,PT33M31.269999999999982S,https://v.youku.com/v_show/id_XODMxODY5ODEy.html
2014-11-26,《不玩也爱看》第14期：女流解说光之子全剧情流程Part2,XODM1Mjg4MTA4,N,,,https://v.youku.com/v_show/id_XODM1Mjg4MTA4.html
2014-11-26,【女流】Perdition*灭亡*试玩解说,XODM1MTMyMTM2,N,,,https://v.youku.com/v_show/id_XODM1MTMyMTM2.html
2014-12-01,【女流】谋杀篡位之后的安稳生活,XODM5MTgyNjM2,N,,,https://v.youku.com/v_show/id_XODM5MTgyNjM2.html
2014-12-06,【女流】光之子全剧情解说Part4,XODQyNzY5NzQ4,N,,,https://v.youku.com/v_show/id_XODQyNzY5NzQ4.html
2014-12-08,【萨曼莎赢了】那些根本走不出的伤痛,XODQ0MTA5OTQ4,N,,,https://v.youku.com/v_show/id_XODQ0MTA5OTQ4.html
2014-12-10,【女流】光之子全剧情流程Part 3,XODQ1Nzc5NjA4,Y,2014-12-10 19:11:03,PT38M58.809999999999945S,https://v.youku.com/v_show/id_XODQ1Nzc5NjA4.html
2014-12-14,权力斗争下的童话世界---光之子全流程Part5,XODQ4NDkzNTQ4,N,,,https://v.youku.com/v_show/id_XODQ4NDkzNTQ4.html
2014-12-16,【女流】光之子全剧情流程解说Part6,XODUwMDAwODcy,N,,,https://v.youku.com/v_show/id_XODUwMDAwODcy.html
2014-12-16,【女流】黑客是怎样炼成的[Mu Complex]解说,XODQ5NzYyMjMy,Y,2014-12-16 11:03:48,PT31M55.549999999999955S,https://v.youku.com/v_show/id_XODQ5NzYyMjMy.html
2014-12-24,【女流】圣诞斗元首,XODU1ODQ2MTky,Y,2014-12-24 17:55:42,PT9M57.870000000000005S,https://v.youku.com/v_show/id_XODU1ODQ2MTky.html
2014-12-25,【女流】光之子全剧情流程解说大结局,XODU2Mzg1NDE2,N,,,https://v.youku.com/v_show/id_XODU2Mzg1NDE2.html
2015-01-05,【女流】90秒作画大挑战,XODY1MzI3MjA0,Y,2015-01-05 22:17:10,PT10M40.40999999999997S,https://v.youku.com/v_show/id_XODY1MzI3MjA0.html
2015-01-09,【女流】小小大星球试玩解说,XODcxODczNjI4,Y,2015-01-09 13:01:02,PT23M41.799999999999955S,https://v.youku.com/v_show/id_XODcxODczNjI4.html
2015-01-15,【女流】巩固我FPS女王的地位,XODcyMzM3MDA0,Y,2015-01-15 14:21:35,PT13M5.269999999999982S,https://v.youku.com/v_show/id_XODcyMzM3MDA0.html
2015-01-18,【女流】小小大星球3探索之旅,XODc3MTM3Nzc2,N,,,https://v.youku.com/v_show/id_XODc3MTM3Nzc2.html
2015-01-23,【女流】大金刚热带雨林勇斗马达加斯加企鹅,XODc4ODM0NDY4,N,,,https://v.youku.com/v_show/id_XODc4ODM0NDY4.html
2015-01-24,[1.21直播录像]重启之后还是一条好汉,XODc4ODk2NTY4,Y,2015-01-24 23:44:23,PT34M25.88000000000011S,https://v.youku.com/v_show/id_XODc4ODk2NTY4.html
